milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.013975176,0.0639892578125,-0.657002140879631,0.5465691685676575,-0.004485576837323606,0.012262260839343071,0.0004744
100000,100000,0.012576575,0.0495751953125,-0.6602852672338486,0.9345976710319519,-0.0036784658464603126,0.006735511417500675,0.0004488
150000,150000,0.0122769065,0.0645751953125,-0.5993498003482819,0.9834697246551514,-0.004616526693571359,0.004344946194905787,0.0004104
200000,200000,0.008168267,0.041767578125,-0.561471204161644,0.9922781586647034,-0.0037954538012854753,0.0026475846976973115,0.00038480000000000003
250000,250000,0.00830151,0.058203125,-0.5718726372718811,0.995376706123352,-0.005683382099959999,0.0015782331686932593,0.00034640000000000007
300000,300000,0.010476505,0.0642431640625,-0.553182812333107,0.9954650402069092,-0.006323039561975747,0.0011238873261027037,0.0003208
350000,350000,0.011763531,0.06705078125,-0.562204961180687,0.9961839318275452,-0.006983987239655107,0.0008532620087498799,0.0002824
400000,400000,0.0099843675,0.06220703125,-0.5534089630842209,0.9958204627037048,-0.008717864425852895,0.0008862462732940912,0.0002568
450000,450000,0.007779192,0.048037109375,-0.5371224170923233,0.9953269958496094,-0.006519194249995053,0.0009304205741500482,0.0002312
500000,500000,0.006504563,0.0491015625,-0.49760404765605926,0.9965656399726868,-0.0053310875385068355,0.0007613170729018748,0.00019280000000000002
550000,550000,0.00972764,0.0667041015625,-0.4896794509887695,0.9962206482887268,-0.009223383897915483,0.0007877317181555554,0.00016720000000000003
600000,600000,0.007829284,0.044267578125,-0.47616928040981293,0.9967763423919678,-0.0068253311142325405,0.0006289719766937196,0.00012880000000000004
650000,650000,0.006176281,0.0344873046875,-0.4838505506515503,0.9975982904434204,-0.006213354596402496,0.0005485796235734597,0.00010320000000000001
700000,700000,0.009454126,0.04130859375,-0.4660976982116699,0.997333824634552,-0.006219579495955259,0.0005272433700156398,6.480000000000003e-05
750000,750000,0.007046739,0.0321923828125,-0.44910091370344163,0.9976153373718262,-0.004908282200340182,0.00047578361380146817,3.920000000000001e-05
800000,800000,9.122053e-05,0.0,-0.45176016420125964,0.9980173110961914,-0.0001706640236079693,0.00045817678357707337,8.000000000000229e-07
