#{"t_start": 1789989849.8564496, "env_id": "None"}
r,l,t
-41810.859235,601,8.287045
-42915.154718,601,16.763791
-45078.315242,601,27.355734
-43576.966412,601,35.656313
-42856.784282,601,46.368659
-45767.050119,601,55.419429
-44606.577959,601,66.06547
-41231.025503,601,74.502032
-42778.00464,601,85.358805
-42119.404732,601,94.531946
-41725.544323,601,105.406874
-40252.238364,601,113.997677
-38570.960806,601,124.888645
-42013.394412,601,134.103064
-42121.074276,601,144.742904
-40064.719306,601,153.211401
-42726.065615,601,161.65704
-43186.997939,601,172.454699
-41317.283439,601,181.456885
-41455.018545,601,192.193639
-38302.198386,601,200.867341
-40864.66034,601,211.767963
-38259.625352,601,221.131101
-40710.806342,601,232.029977
-38264.84354,601,240.197712
-41768.43277,601,250.991479
-37975.262836,601,260.00304
-37730.328623,601,270.463999
-38537.780186,601,278.685791
-41461.058522,601,288.986039
-44815.049363,601,297.983782
-36975.01601,601,308.600631
-43524.407459,601,316.568825
-40554.881278,601,324.406789
-39948.725974,601,335.485193
-39214.359107,601,343.202602
-39352.758555,601,353.38228
-32054.209643,601,361.039356
-38021.332778,601,371.764546
-38224.569171,601,379.879051
-40805.645697,601,389.957479
-35231.32087,601,397.876057
-40763.631739,601,408.219627
-40195.791574,601,416.554571
-37201.205162,601,426.755715
-40358.331615,601,434.63749
-39206.409738,601,444.741975
-39945.318644,601,453.509832
-35451.713717,601,463.533214
-40069.358491,601,471.486753
-37245.432681,601,479.744062
-33896.639306,601,491.209978
-37535.898109,601,499.520547
-36288.501764,601,510.177017
-35817.327061,601,518.391054
-36046.377441,601,529.875714
-34327.418571,601,538.550682
-39973.318754,601,549.604882
-36039.12478,601,558.239233
-34734.517122,601,569.833202
-36740.731765,601,578.681905
-38560.983205,601,589.473011
-39909.056815,601,597.903674
-35803.845839,601,609.07504
-36470.729161,601,618.059713
-33149.635101,601,627.135919
-32266.744282,601,638.160887
-31176.65186,601,646.88588
-35871.698505,601,658.698325
-32369.299036,601,666.937319
-35829.691528,601,677.820645
-30989.821742,601,686.979553
-32833.73741,601,698.773825
-30800.887855,601,707.028256
-33078.769553,601,717.443926
-34238.572368,601,725.593349
-29834.731647,601,736.766485
-31840.726453,601,745.037728
-31368.08817,601,755.468885
-32588.242464,601,763.638675
-32434.5891,601,774.97849
-32338.149063,601,783.011693
-28832.377136,601,791.102304
-29039.167104,601,801.308852
-33706.517704,601,809.717975
