#{"t_start": 1789989834.7568622, "env_id": "None"}
r,l,t
-43283.605892,601,23.385621
-44306.918743,601,31.86138
-40361.615525,601,42.451321
-39296.486341,601,50.7499
-46840.608634,601,61.466247
-42039.277826,601,70.514024
-46855.422995,601,81.167059
-41682.061073,601,89.602619
-44854.672452,601,100.458393
-40244.655161,601,109.629533
-39670.116191,601,120.504452
-40707.075192,601,129.092268
-40952.808862,601,139.982233
-42227.576134,601,149.200066
-40135.274436,601,159.842491
-41583.253103,601,168.309989
-41266.190719,601,176.756628
-40624.389263,601,187.551282
-42441.372072,601,196.556472
-44758.552416,601,207.292234
-43432.528444,601,215.961927
-41499.997563,601,226.866551
-46898.417079,601,236.225675
-43768.233326,601,247.128565
-42508.3768,601,255.296291
-44921.951082,601,266.08907
-40449.051461,601,275.105612
-37586.322433,601,285.561626
-41562.83266,601,293.780335
-36819.551318,601,304.084633
-44114.56944,601,313.082369
-40000.710277,601,323.698705
-41441.301829,601,331.668413
-41225.94768,601,339.506377
-38227.406409,601,350.584781
-36294.75662,601,358.301187
-39892.422264,601,368.481868
-39525.329841,601,376.138943
-40891.790188,601,386.864134
-41518.556747,601,394.976639
-44205.238383,601,405.056058
-43408.305623,601,412.974755
-41916.708701,601,423.319215
-39422.146546,601,431.654158
-37352.772093,601,441.855303
-44659.030478,601,449.736075
-41034.728137,601,459.838562
-41416.774018,601,468.608421
-38075.154455,601,478.632801
-40739.478748,601,486.585348
-42403.436932,601,494.841658
-38237.232286,601,506.30556
-38793.684667,601,514.619134
-36403.971233,601,525.272051
-37683.86714,601,533.490642
-37836.364591,601,544.9743
-37601.771508,601,553.649256
-37470.711553,601,564.70647
-38061.846101,601,573.33482
-34869.325583,601,584.93279
-34583.999319,601,593.778493
-36593.72009,601,604.570583
-35331.108996,601,612.998266
-38359.200068,601,624.170628
-35562.45448,601,633.1593
-37472.860764,601,642.233506
-34210.233142,601,653.258478
-33241.13451,601,661.985468
-34748.435078,601,673.795902
-35268.260888,601,682.033906
-35879.141326,601,692.920233
-34118.577469,601,702.075139
-30197.043372,601,713.872405
-30316.416715,601,722.127843
-29248.041414,601,732.541512
-33996.649647,601,740.691939
-29020.359952,601,751.865065
-30393.123912,601,760.135317
-28577.748905,601,770.56447
-32099.302491,601,778.736255
-33810.433844,601,790.074076
-29393.730357,601,798.110281
-33809.086838,601,806.201891
-32068.097076,601,816.406356
-31633.489461,601,824.814562
