#{"t_start": 1789989840.5445085, "env_id": "None"}
r,l,t
-42432.922958,601,17.597974
-43944.086398,601,26.073733
-42470.434393,601,36.666676
-42107.647102,601,44.968254
-41381.515207,601,55.678601
-40550.006599,601,64.728372
-40781.24607,601,75.377411
-35987.9405,601,83.813973
-40273.537569,601,94.670747
-36442.48541,601,103.843887
-41523.783828,601,114.716806
-40153.291247,601,123.304621
-41628.039055,601,134.198586
-42569.484796,601,143.412419
-39245.999705,601,154.054845
-43012.650824,601,162.523343
-45023.666454,601,170.968981
-40690.78852,601,181.764637
-43662.742298,601,190.768826
-40249.925575,601,201.50558
-46405.403943,601,210.174281
-39722.916546,601,221.079905
-44940.587019,601,230.438028
-46815.585758,601,241.341918
-41801.831506,601,249.509653
-44515.894476,601,260.301423
-43609.678388,601,269.313872
-38801.463152,601,279.774985
-40183.125542,601,287.992689
-39255.526418,601,298.296986
-35435.589909,601,307.294723
-44398.926946,601,317.911058
-39899.659009,601,325.882766
-39096.625066,601,333.71873
-39788.644091,601,344.797134
-34029.82225,601,352.514544
-41962.321293,601,362.693221
-39339.408171,601,370.351297
-37432.850148,601,381.076488
-41313.90985,601,389.190992
-38194.688923,601,399.268411
-41968.205356,601,407.187109
-36301.328708,601,417.531569
-39131.913087,601,425.866512
-37836.055102,601,436.067657
-36537.024761,601,443.949431
-39936.813224,601,454.050916
-37630.031776,601,462.821773
-35822.87668,601,472.846147
-40100.672847,601,480.798694
-39733.369537,601,489.054011
-41245.849019,601,500.520908
-41016.84051,601,508.831487
-37093.034084,601,519.485405
-40667.005953,601,527.702995
-37505.982945,601,539.187655
-38928.355822,601,547.861609
-38784.793872,601,558.915823
-37943.827172,601,567.549173
-33302.880155,601,579.145143
-32238.507776,601,587.990846
-36503.495459,601,598.783954
-35671.834866,601,607.210619
-35467.567761,601,618.385982
-33216.33841,601,627.370843
-35157.927616,601,636.44586
-34486.48093,601,647.472828
-31131.867342,601,656.197822
-36510.352826,601,668.009264
-32527.749054,601,676.248261
-35179.450832,601,687.132586
-33437.507641,601,696.288494
-31370.816892,601,708.085766
-30709.854252,601,716.340197
-29063.366047,601,726.753866
-29485.071639,601,734.904293
-34919.065229,601,746.079429
-33918.106989,601,754.34767
-29725.428959,601,764.776823
-28785.311058,601,772.948609
-30254.86233,601,784.28843
-32371.524845,601,792.324637
-32574.946371,601,800.414245
-31885.855518,601,810.619702
-30919.590595,601,819.028915
