#{"t_start": 1789927535.1669846, "env_id": "None"}
r,l,t
-34296.290573,601,17.598049
-34891.078139,601,23.20027
-32561.365323,601,30.170667
-33243.708373,601,35.578444
-32712.08672,601,42.836911
-35246.436756,601,48.734417
-33679.432416,601,55.55134
-37356.055807,601,61.130538
-38228.00707,601,67.972537
-37895.473577,601,73.890838
-40707.763302,601,80.657047
-49628.967589,601,86.433428
-41099.098976,601,93.223567
-39267.605328,601,98.679357
-44335.533321,601,106.260948
-46453.222572,601,111.959557
-43905.701797,601,117.372772
-45980.134916,601,124.719699
-40652.600808,601,130.740647
-43147.384285,601,137.667945
-41475.304257,601,143.474452
-41251.389147,601,150.528535
-42027.604975,601,156.670941
-38974.108099,601,163.27846
-40328.663173,601,168.708841
-39894.803949,601,175.671751
-40957.147535,601,181.238323
-35756.725322,601,188.19673
-38216.99091,601,193.44738
-36437.422416,601,200.018463
-35321.564175,601,205.297572
-36839.432603,601,212.114641
-36472.456078,601,217.037152
-33595.187253,601,222.597087
-36498.596141,601,230.19092
-34173.812448,601,237.322704
-34076.639377,601,244.085253
-34937.358936,601,249.251476
-34637.200098,601,256.324679
-33896.920597,601,262.156099
-35292.573029,601,268.908832
-31031.039279,601,274.348262
-33180.213964,601,281.490438
-31855.736478,601,287.61451
-30890.079551,601,294.502327
-31216.383053,601,300.183267
-30482.505997,601,307.021438
-33800.668033,601,312.539381
-32351.43513,601,319.49407
-31126.001847,601,324.674166
-30273.361781,601,329.997746
-32666.102553,601,337.163411
-30039.338835,601,342.991438
-30090.893865,601,349.932092
-30456.700908,601,355.184651
-29532.063123,601,361.80528
-32149.294278,601,368.229443
-30148.003058,601,375.063904
-31065.645151,601,380.360682
-30844.23421,601,387.374721
-31836.564731,601,393.388206
-30181.187577,601,400.444515
-29896.990656,601,406.601904
-29453.801102,601,413.99755
-29733.560776,601,419.77056
-29414.948814,601,425.658867
-29562.402939,601,432.798988
-29631.364569,601,438.499484
-30543.587418,601,445.322488
-30946.835041,601,452.307972
-30711.409784,601,459.434931
-30701.861095,601,464.894569
-30113.20055,601,472.131956
-29883.788019,601,478.346474
-29620.643689,601,485.313629
-28600.342852,601,490.794062
-30105.940831,601,497.864953
-29367.12413,601,503.967447
-29771.338059,601,510.924065
-29669.194895,601,516.327478
-29794.674878,601,523.273476
-29139.174546,601,529.19554
-29730.678317,601,534.665357
-29548.508864,601,541.705062
-30083.526754,601,547.23641
