stage,method,method_name,topology,final_step,final_ATT,final_AWT,final_completion,final_backlog,final_Jsys_per_passenger,final_gap_vs_STTF_pct,final_gap_vs_QTTI2_pct,final_gap_vs_best_rule_pct,best_step,best_ATT,best_completion,best_Jsys_per_passenger,best_gap_vs_best_rule_pct,late_Jsys_mean,late_Jsys_std,late_ATT_mean,late_ATT_std,late_completion_mean,best_rule_name,best_rule_Jsys_per_passenger,group,M0_500k_Jsys_ref,final_delta_vs_M0_abs,final_delta_vs_M0_pct,M0_300_500k_Jsys_ref,late_delta_vs_M0_abs,late_delta_vs_M0_pct
E3,A_SETCOUNT,M2-SetCount,T2,500000,69.39666666666666,41.18,1.0,0.0,69.39666666666666,nan,nan,nan,500000,69.39666666666666,1.0,69.39666666666666,nan,71.75266666666667,1.628214291110905,71.75266666666667,1.628214291110905,1.0,,nan,A,78.88,-9.483333333333334,-12.022481406355649,83.048,-11.295333333333332,-13.600969720322384
E3,A_SETETA,M3-SetETA,T2,500000,82.48,56.45666666666667,1.0,0.0,82.48,nan,nan,nan,450000,82.07666666666667,1.0,82.07666666666667,nan,89.95533333333334,8.43266469022561,89.95533333333334,8.43266469022561,1.0,,nan,A,78.88,3.6000000000000085,4.563894523326583,83.048,6.907333333333341,8.317278361108443
