milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.012441652,0.0534814453125,-0.6576076781749726,0.5184590816497803,-0.004998629515757785,0.023160305535420776,0.0004744
100000,100000,0.010992036,0.0667236328125,-0.6517410904169083,0.9424664974212646,-0.003908590351929888,0.006858244349714369,0.0004488
150000,150000,0.014407121,0.08423828125,-0.5946105968952179,0.9884320497512817,-0.00755587249295786,0.007093511801213026,0.0004104
200000,200000,0.012398851,0.0739306640625,-0.5390468007326126,0.9945933222770691,-0.008750524887582288,0.002523696362040937,0.00038480000000000003
250000,250000,0.012254975,0.066494140625,-0.5210162284970283,0.9959288239479065,-0.00847149837994948,0.0021483526064548643,0.00034640000000000007
300000,300000,0.011449018,0.082666015625,-0.5177746689319611,0.9974298477172852,-0.009894996476359665,0.0015860758617054671,0.0003208
350000,350000,0.011706708,0.0712890625,-0.44422812074422835,0.9977404475212097,-0.00793878426309675,0.0014918297587428243,0.0002824
400000,400000,0.010366853,0.06349609375,-0.43955151975154877,0.9978295564651489,-0.009479042437160388,0.001410189752932638,0.0002568
450000,450000,0.010813699,0.0709765625,-0.44262108772993086,0.9983351230621338,-0.00969946761848405,0.0012070914765354246,0.0002312
500000,500000,0.011097829,0.0667138671875,-0.39391242295503615,0.9985309839248657,-0.009487928575836121,0.0011114533647196367,0.00019280000000000002
550000,550000,0.009193648,0.0528857421875,-0.3902139714360237,0.998447597026825,-0.009453857189510018,0.0010257505247136577,0.00016720000000000003
600000,600000,0.007645698,0.0361474609375,-0.3988828894495964,0.9981188774108887,-0.0076038918597623704,0.0009011098608607426,0.00012880000000000004
650000,650000,0.0047965534,0.0352197265625,-0.3824195525050163,0.998144805431366,-0.006477713235653937,0.0009372981771593914,0.00010320000000000001
700000,700000,0.00510429,0.03396484375,-0.34466733992099763,0.9973913431167603,-0.005817742568906397,0.0010923721897415817,6.480000000000003e-05
750000,750000,0.0031208838,0.0217333984375,-0.3365159943699837,0.9970641136169434,-0.004118553404696286,0.0010373026866000146,3.920000000000001e-05
800000,800000,0.00045556235,0.0,-0.30351210445165633,0.9960963129997253,-0.0003261238255072385,0.0013997786736581475,8.000000000000229e-07
