milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.008287645,0.025283203125,-0.6750712859630584,0.6509093046188354,-0.0036475092777982355,0.026285685347393156,0.0004744
100000,100000,0.010076006,0.05041015625,-0.6487631726264954,0.9521339535713196,-0.005686625589150935,0.008604209038894623,0.0004488
150000,150000,0.01372575,0.07646484375,-0.5966476529836655,0.9856131672859192,-0.010855851857922972,0.005242685719858855,0.0004104
200000,200000,0.011127591,0.078525390625,-0.5247409346699715,0.990730345249176,-0.007869991397019476,0.0031920574442483485,0.00038480000000000003
250000,250000,0.010852499,0.0631298828125,-0.4824147018790245,0.996343195438385,-0.008265226259827613,0.0018661888875067235,0.00034640000000000007
300000,300000,0.01147134,0.0648095703125,-0.45637198477983476,0.9977284073829651,-0.007320228749886155,0.0014106293953955174,0.0003208
350000,350000,0.013351297,0.0716259765625,-0.4297258394956589,0.9985213875770569,-0.010195967515464872,0.0012001782486913725,0.0002824
400000,400000,0.009411706,0.0603125,-0.42171189188957214,0.9989416003227234,-0.00758751573972404,0.0009008115017786622,0.0002568
450000,450000,0.008205949,0.055322265625,-0.40488366812467574,0.9990934729576111,-0.007941170221893118,0.0007776217872742564,0.0002312
500000,500000,0.009137194,0.054296875,-0.4039736631512642,0.9992780089378357,-0.008001747766975313,0.000665623241220601,0.00019280000000000002
550000,550000,0.008519407,0.045009765625,-0.42372881233692167,0.9992536902427673,-0.007116344557143748,0.000571356761502102,0.00016720000000000003
600000,600000,0.009885462,0.054287109375,-0.4209824427962303,0.9993586540222168,-0.00771750157000497,0.0005167858247295953,0.00012880000000000004
650000,650000,0.0063447943,0.0334423828125,-0.42899995148181913,0.9994094371795654,-0.00657517044339329,0.0004753720719600096,0.00010320000000000001
700000,700000,0.0054764664,0.030576171875,-0.40472712635993957,0.9993762373924255,-0.00571109838783741,0.00045713584288023415,6.480000000000003e-05
750000,750000,0.005795152,0.03009765625,-0.42402640789747237,0.9994022846221924,-0.006220670404145494,0.00041414179548155517,3.920000000000001e-05
800000,800000,0.00071324885,0.0,-0.41528216779232024,0.9994189739227295,-0.0004417832929175347,0.00045597069518407804,8.000000000000229e-07
