#{"t_start": 1789913960.077454, "env_id": "None"}
r,l,t
-35360.950235,601,14.790299
-36485.879938,601,20.715573
-31891.022652,601,28.375661
-34242.732259,601,35.058334
-33902.817144,601,42.869341
-34847.571174,601,48.850449
-33474.146131,601,55.094735
-36669.624526,601,60.673819
-35104.240376,601,68.09655
-30832.943637,601,73.577061
-33873.907359,601,80.95806
-30554.199207,601,86.310062
-32352.629711,601,93.080973
-32220.742923,601,98.639259
-32940.233309,601,105.814607
-32944.382282,601,111.421309
-34393.103966,601,116.429796
-33561.58578,601,127.095654
-34865.988518,601,148.398843
-32081.040805,601,164.731588
-31991.667564,601,179.219525
-34433.892099,601,195.17237
-35117.463515,601,215.285078
-36083.552882,601,239.148844
-36310.585761,601,256.486911
-36153.704466,601,280.041931
-34113.872082,601,301.211492
-34623.033252,601,324.639174
-35840.006172,601,335.474508
-37751.897296,601,359.113241
-37742.904672,601,377.765391
-35956.221899,601,401.240267
-39359.376791,601,419.645732
-37902.725756,601,437.971565
-37789.596012,601,461.784504
-35786.471509,601,481.803329
-35977.079657,601,505.584813
-37010.104795,601,523.742402
-38627.10729,601,549.259886
-37079.055391,601,570.690977
-36548.334969,601,596.036736
-35803.865258,601,616.084848
-34451.039839,601,641.406352
-36185.703264,601,662.177067
-34778.145888,601,686.679941
-34253.836764,601,705.378936
-35395.701872,601,729.891757
-33931.810546,601,750.380825
-36976.40589,601,774.604902
-35657.469602,601,792.642831
-34769.394803,601,810.566805
-33824.711863,601,834.592541
-34784.120576,601,853.907299
