#{"t_start": 1789913964.0249064, "env_id": "None"}
r,l,t
-33726.713999,601,10.842847
-35446.362397,601,16.768121
-34554.392799,601,24.427212
-35285.455195,601,31.10988
-35606.679013,601,38.921889
-36947.755574,601,44.902997
-32401.55639,601,51.147283
-34263.801403,601,56.725367
-32407.518561,601,64.149098
-34116.584872,601,69.629609
-34158.785097,601,77.009609
-31558.199333,601,82.36261
-32453.93947,601,89.132519
-33354.786618,601,94.690809
-34967.346048,601,101.868155
-35404.593758,601,107.471855
-32789.317406,601,112.481347
-34875.882288,601,123.149201
-34124.161193,601,144.450148
-34388.192069,601,160.785143
-34078.552155,601,175.272073
-34990.602868,601,191.224918
-34311.189842,601,211.338604
-36225.579529,601,235.20239
-33525.926574,601,252.539459
-33592.464716,601,276.094479
-36749.163032,601,297.265018
-36493.76401,601,320.691722
-36863.653151,601,331.527056
-36087.415592,601,355.165789
-35793.305515,601,373.818934
-37538.067494,601,397.292814
-34736.590213,601,415.699282
-36877.985562,601,434.024113
-38302.074826,601,457.838049
-38537.512596,601,477.854878
-35135.306176,601,501.638358
-37940.671717,601,519.794949
-36412.200758,601,545.312433
-35689.472194,601,566.747524
-35091.379783,601,592.089283
-35091.42233,601,612.136399
-35169.111789,601,637.459898
-35451.629299,601,658.230615
-34680.614302,601,682.731976
-36027.898974,601,701.430485
-34665.074093,601,725.947303
-34678.92382,601,746.433372
-35732.467257,601,770.657449
-34773.082489,601,788.695379
-34411.163924,601,806.619352
-34184.048614,601,830.64609
-33961.431762,601,849.960851
