#{"t_start": 1789913942.399211, "env_id": "None"}
r,l,t
-34494.906041,601,32.467543
-34591.637076,601,38.392814
-31673.014653,601,46.053905
-32353.909302,601,52.736577
-32550.917741,601,60.546584
-35620.653701,601,66.527711
-34378.133829,601,72.772055
-33210.411308,601,78.351062
-34641.991191,601,85.774794
-36942.452261,601,91.254306
-36251.829299,601,98.635304
-33333.139947,601,103.987307
-33130.664923,601,110.757217
-32843.223906,601,116.316504
-34393.302687,601,123.491851
-32368.065141,601,129.097551
-32546.796714,601,134.107042
-33792.95047,601,144.771897
-35229.565764,601,166.073842
-36872.817988,601,182.40883
-34051.326205,601,196.896772
-33500.900963,601,212.849602
-35360.335585,601,232.962302
-32147.261494,601,256.825087
-37667.224371,601,274.162163
-35351.488633,601,297.717168
-34580.162891,601,318.887705
-39021.070229,601,342.31642
-37880.290971,601,353.151752
-36079.637896,601,376.787487
-37183.7054,601,395.442629
-34566.153951,601,418.9175
-36568.959745,601,437.320977
-37330.209652,601,455.648808
-37851.539818,601,479.462747
-37240.354583,601,499.479575
-37762.569654,601,523.26205
-38880.424879,601,541.41864
-37128.482696,601,566.934133
-35535.635342,601,588.36822
-35856.054962,601,613.713976
-34613.527707,601,633.759093
-36723.006609,601,659.080578
-34939.74324,601,679.85531
-35872.868132,601,704.355319
-36632.955928,601,723.054173
-34498.645107,601,747.57
-36613.824147,601,768.058067
-34113.393745,601,792.282158
-32913.682667,601,810.322085
-35646.105217,601,828.245048
-34220.518448,601,852.268771
-34553.130749,601,871.585542
