milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.009432627,0.0498046875,-0.6550255858898163,0.6796998977661133,-0.0034530781838111578,0.014710654919035733,0.0004744
100000,100000,0.01643747,0.103505859375,-0.6367391616106033,0.9424934387207031,-0.0038925456919241697,0.006078262351220474,0.0004488
150000,150000,0.008177312,0.046181640625,-0.47326900750398637,0.9421765804290771,-0.0023730904562398792,0.003735636055935174,0.0004104
200000,200000,0.005628998,0.0402294921875,-0.440399050116539,0.9632828831672668,-0.0011557323904708029,0.005646830790210515,0.00038480000000000003
250000,250000,0.0067054117,0.0437646484375,-0.47846704214811325,0.9878942370414734,-0.0025642764917574823,0.0044647870236076415,0.00034640000000000007
300000,300000,0.012445333,0.0386669921875,-0.4829162356257439,0.9902724623680115,-0.0024662932520732282,0.0034206968848593533,0.0003208
350000,350000,0.039904717,0.1248974609375,-0.5110253956913948,0.9882018566131592,-0.005522687826305628,0.0021876087260898204,0.0002824
400000,400000,0.007965765,0.03203125,-0.5130236604809761,0.9928840398788452,-0.004241400721948594,0.0028081053192727267,0.0002568
450000,450000,0.0066127433,0.0317041015625,-0.5614197462797165,0.9938973188400269,-0.003185589120257646,0.002338523184880614,0.0002312
500000,500000,0.0075664856,0.0426318359375,-0.5235019528865814,0.9977480173110962,-0.004823414434213191,0.0012716133275534958,0.00019280000000000002
550000,550000,0.006866777,0.04853515625,-0.4348496556282043,0.9959951639175415,-0.005983841838315129,0.0012072425964288413,0.00016720000000000003
600000,600000,0.010399195,0.048818359375,-0.3828924936056137,0.9694451093673706,-0.004546057861298323,0.0021833950269501655,0.00012880000000000004
650000,650000,0.0072782435,0.0334521484375,-0.4139158415794373,0.9441754221916199,-0.0016571450605988502,0.0027785868104547263,0.00010320000000000001
700000,700000,0.01046826,0.0436669921875,-0.387403849363327,0.942119300365448,-0.0018341840081848204,0.003721264679916203,6.480000000000003e-05
750000,750000,0.0054710456,0.0387255859375,-0.4064632618427277,0.9667900800704956,-0.0018519148416817188,0.004546714364551008,3.920000000000001e-05
800000,800000,3.001914e-05,0.0,-0.3965794712305069,0.9869332909584045,-3.4605858381837606e-05,0.005528183006681502,8.000000000000229e-07
