#{"t_start": 1789982838.8073652, "env_id": "None"}
r,l,t
-42439.24228,601,17.317068
-44003.483182,601,25.429838
-42170.232804,601,35.393873
-42488.49829,601,43.334823
-41634.392495,601,53.253922
-40749.604094,601,61.429676
-44182.29263,601,71.212134
-40259.597312,601,79.080084
-41114.499848,601,88.738776
-44344.203725,601,97.061161
-45338.025306,601,106.624396
-45034.511015,601,114.326494
-44718.118101,601,123.985351
-40045.217179,601,132.245298
-42075.37481,601,141.84808
-43377.822652,601,149.407496
-44643.988593,601,157.034867
-43061.770424,601,166.706458
-43435.133469,601,174.865511
-42830.791974,601,184.584692
-46238.499117,601,192.254337
-41377.432511,601,201.963369
-49231.030108,601,210.304037
-46255.69293,601,219.941278
-45771.1757,601,227.617649
-49034.023836,601,237.326497
-48564.494549,601,245.864691
-42513.481025,601,255.713079
-47036.407171,601,263.459809
-49371.319209,601,273.226586
-50483.557312,601,281.755806
-50530.076123,601,291.908223
-49591.573515,601,299.795385
-49676.336276,601,307.77509
-48526.376306,601,318.660714
-49404.091045,601,326.686989
-51311.414983,601,336.919937
-52769.71267,601,345.168731
-50371.759383,601,355.771246
-54433.695004,601,364.151018
-54551.403247,601,374.268759
-52488.882109,601,382.53988
-49741.813513,601,392.767906
-52384.491903,601,401.670697
-53486.279277,601,411.933731
-51421.250687,601,420.241268
-55747.420813,601,430.578348
-55197.576263,601,439.506638
-49797.093112,601,449.539813
-56008.079483,601,457.746348
-54241.88382,601,465.899648
-50988.205487,601,476.980972
-54034.815845,601,485.157232
-54988.802325,601,495.130358
-57199.280352,601,503.287126
-51686.070779,601,514.125914
-48578.217617,601,522.060461
-52506.104235,601,532.201418
-55134.319917,601,540.115662
-54235.066655,601,550.931822
-54814.811778,601,556.838966
-54891.285196,601,563.387047
-51586.622516,601,568.586969
-53982.637874,601,575.334857
-53866.285285,601,580.720387
-54476.896267,601,585.86903
-52197.450272,601,595.416449
-49273.16518,601,603.167381
-48560.899924,601,613.575196
-49987.549773,601,621.121402
-53211.505954,601,630.733194
-50741.9034,601,638.277802
-51695.650463,601,648.564831
-54449.059421,601,656.211038
-49501.172765,601,665.939601
-44850.324547,601,673.667898
-54852.996098,601,683.985714
-50492.478528,601,691.790488
-49317.000197,601,701.433261
-51077.205708,601,709.127568
-46385.924666,601,719.33349
-52389.655589,601,727.312089
-48592.509982,601,734.99071
-51892.336009,601,744.791585
-49955.633384,601,753.07197
