#{"t_start": 1789928201.255345, "env_id": "None"}
r,l,t
-34494.906041,601,33.140302
-34585.692014,601,39.206863
-32543.467713,601,46.658629
-32369.096047,601,52.478646
-34045.64878,601,59.377606
-36428.161508,601,65.864043
-36098.532883,601,73.379488
-36677.571973,601,79.649404
-37044.656506,601,87.293496
-41111.456378,601,93.571478
-41564.889797,601,100.985015
-37331.038906,601,106.862233
-35813.713804,601,114.324649
-43955.077787,601,120.254798
-44471.375603,601,128.318723
-41023.966523,601,134.332078
-36036.448904,601,140.359085
-39834.93998,601,147.737664
-42275.759599,601,154.119987
-42718.368167,601,161.76571
-40932.797648,601,167.929783
-41555.308399,601,175.710629
-40438.455271,601,182.072892
-37750.162747,601,189.523239
-42819.687257,601,195.695328
-42713.797871,601,203.002556
-41946.092592,601,209.729976
-43623.335193,601,217.48775
-41914.978891,601,223.724368
-40962.159583,601,231.080301
-38868.48914,601,237.623152
-39043.732524,601,245.526607
-40356.008472,601,251.509215
-40407.279818,601,257.74904
-38798.312364,601,265.138612
-40733.074587,601,271.629457
-39038.074739,601,279.0395
-42108.105409,601,285.262025
-41160.797135,601,293.016736
-38577.718822,601,300.361544
-39576.863753,601,309.040356
-38929.078895,601,316.260007
-40802.62839,601,324.295384
-38540.059443,601,331.062762
-38810.095894,601,338.952789
-38435.920959,601,345.362163
-37628.562036,601,353.061571
-39184.305732,601,359.754802
-39013.345826,601,367.86287
-35998.958213,601,373.550153
-38015.832815,601,379.590364
-39066.044159,601,387.744974
-38663.717128,601,394.566474
-38464.813021,601,402.397204
-37624.905205,601,408.702419
-37857.858037,601,416.279142
-36866.806745,601,422.901318
-37401.332291,601,430.314972
-38739.11518,601,435.988183
-38010.979281,601,443.347389
-35706.283149,601,449.829148
-37423.544309,601,457.439149
-37265.052442,601,462.94068
-37648.708118,601,470.110567
-36452.326847,601,476.656499
-37726.56433,601,482.85303
-37683.341731,601,490.432682
-37974.984603,601,496.228506
-36585.03375,601,503.94508
-35346.582023,601,510.154558
-36589.654723,601,517.670758
-37763.056709,601,523.674303
-36739.323196,601,531.463178
-36084.292308,601,538.030574
-37383.742823,601,545.404389
-36089.346158,601,551.194802
-36225.047872,601,558.086307
-35067.778218,601,564.300279
-34832.220533,601,571.975177
-36160.052625,601,577.793943
-35009.084928,601,585.125565
-36436.249454,601,591.254545
-36006.069627,601,598.019677
-34527.8412,601,605.475499
-34871.829508,601,612.38481
