#{"t_start": 1789956834.2208385, "env_id": "None"}
r,l,t
-35897.500949,601,17.90612
-35848.028362,601,36.564574
-35597.537172,601,60.661833
-41238.926054,601,78.892312
-37012.511925,601,102.668967
-36974.921,601,121.881661
-38837.754276,601,145.47218
-40225.28134,601,163.281908
-40027.8323,601,187.143735
-38795.107483,601,206.478044
-38775.168257,601,230.37161
-37190.733612,601,248.523753
-39352.587968,601,272.258214
-38778.504358,601,291.866594
-41757.097813,601,315.502005
-38866.512195,601,333.700128
-38696.576521,601,351.714631
-38730.609685,601,375.724832
-38152.618173,601,395.419688
-39688.055446,601,419.501711
-40303.957862,601,438.076193
-39602.335326,601,462.146702
-40056.177704,601,481.831434
-39906.892649,601,505.806717
-42598.896814,601,524.268754
-41039.861744,601,548.262622
-39905.925797,601,568.066021
-42448.453894,601,591.964059
-39948.724724,601,610.147859
-42033.720065,601,633.720229
-40314.764238,601,653.200198
-41021.359366,601,676.987468
-40538.705077,601,694.988966
-43229.255268,601,712.966033
-40119.023774,601,737.300941
-41754.987221,601,756.640243
-41090.726855,601,780.411563
-42334.516947,601,798.591471
-41464.359623,601,822.406035
-42255.789012,601,842.310705
-40953.923184,601,866.320904
-39490.885214,601,884.613299
-40936.556088,601,908.693554
-40756.146219,601,929.014149
-40162.636971,601,953.050981
-39538.03738,601,971.378013
-42959.049186,601,995.74169
-40814.051702,601,1016.298332
-40487.997447,601,1040.345639
-40737.555595,601,1058.61648
-41788.755694,601,1076.973372
-38227.289794,601,1102.915514
-42425.543801,601,1121.203603
-40862.614391,601,1144.90034
-39237.985019,601,1162.650938
-39449.910602,601,1186.365083
-39808.643439,601,1206.039078
-40133.32291,601,1229.894821
-40004.291746,601,1248.036204
-41104.509523,601,1271.801922
-39465.593503,601,1291.758194
-40633.251275,601,1315.622984
-39732.900969,601,1333.91052
-38234.639611,601,1357.76666
-39569.377017,601,1378.050842
-41361.172694,601,1396.45185
-38669.395112,601,1420.60466
-39898.521507,601,1439.192619
-38927.515572,601,1465.171964
-39906.268167,601,1483.50943
-39655.011794,601,1507.615636
-38937.443375,601,1525.815994
-39967.101405,601,1550.662297
-39830.049139,601,1570.487716
-38521.092452,601,1594.140717
-41019.658993,601,1612.227133
-38549.259911,601,1636.119739
-38485.824027,601,1656.310231
-39287.899643,601,1679.965673
-38995.772838,601,1697.944333
-38797.626601,601,1721.658367
-39439.187631,601,1741.901714
-40386.363102,601,1760.029503
-40701.40354,601,1783.937395
-40516.207124,601,1801.911198
