stage,method,method_name,topology,train_step,n_eval_seeds,ATT_mean,ATT_std,AWT_mean,AWT_std,AGT_access_mean,AGT_access_std,AFT_mean,AFT_std,completion_rate_mean,completion_rate_std,backlog_mean,backlog_std,system_person_minutes_per_passenger_mean,system_person_minutes_per_passenger_std,travel_p90_mean,travel_p90_std,policy_entropy_normalized_mean,policy_entropy_normalized_std,mean_policy_max_prob_mean,mean_policy_max_prob_std,action_0_share_mean,action_1_share_mean,SPF_Jsys_per_passenger,gap_vs_SPF_pct,STTF_Jsys_per_passenger,gap_vs_STTF_pct,QTTI2_Jsys_per_passenger,gap_vs_QTTI2_pct,best_rule_name,best_rule_Jsys_per_passenger,gap_vs_best_rule_pct
E1,M3,SHARED_AC,T2,50000,3,97.34666666666665,1.4210854715202004e-14,69.33,0.0,7.53,0.0,20.573333333333334,0.0,1.0,0.0,0.0,0.0,97.34666666666665,1.4210854715202004e-14,144.0,0.0,0.9777054473990305,0.0,0.566568307888488,0.0,0.36272878535773706,0.6372712146422629,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,100000,3,141.55666666666667,0.0,114.99666666666667,0.0,6.983333333333333,0.0,19.666666666666668,0.0,1.0,0.0,0.0,0.0,141.55666666666667,0.0,173.0,0.0,0.9533887534557751,1.1102230246251565e-16,0.5945749859048205,0.0,0.5207986688851913,0.47920133111480867,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,150000,3,96.33333333333333,0.0,68.07333333333334,0.0,7.596666666666667,0.0,20.746666666666666,0.0,1.0,0.0,0.0,0.0,96.33333333333333,0.0,145.0,0.0,0.9090213713324514,0.0,0.6393676062986974,0.0,0.3660565723793677,0.6339434276206323,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,200000,3,94.57666666666667,0.0,66.01,0.0,7.760000000000001,8.881784197001252e-16,20.893333333333334,0.0,1.0,0.0,0.0,0.0,94.57666666666667,0.0,146.0,0.0,0.8281909302403948,1.1102230246251565e-16,0.7031827903230258,0.0,0.3727121464226289,0.627287853577371,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,250000,3,91.63333333333334,0.0,62.95000000000001,7.105427357601002e-15,7.88,0.0,20.88,0.0,1.0,0.0,0.0,0.0,91.63333333333334,0.0,140.0,0.0,0.7725674045167003,1.1102230246251565e-16,0.7327683912140756,0.0,0.3510815307820299,0.64891846921797,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,300000,3,91.59333333333332,1.4210854715202004e-14,63.04,0.0,7.849999999999999,8.881784197001252e-16,20.786666666666665,0.0,1.0,0.0,0.0,0.0,91.59333333333332,1.4210854715202004e-14,141.0,0.0,0.7784584999406067,0.0,0.6927970221356029,0.0,0.5707154742096506,0.4292845257903494,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,350000,3,89.83333333333333,0.0,60.916666666666664,0.0,7.989999999999999,8.881784197001252e-16,21.013333333333332,0.0,1.0,0.0,0.0,0.0,89.83333333333333,0.0,144.0,0.0,0.7244111354584298,1.1102230246251565e-16,0.7441899967867999,0.0,0.4043261231281197,0.5956738768718802,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,400000,3,92.83999999999999,1.4210854715202004e-14,63.94,0.0,8.003333333333334,0.0,20.986666666666668,0.0,1.0,0.0,0.0,0.0,92.83999999999999,1.4210854715202004e-14,144.20000000000005,0.0,0.6821077288113434,1.1102230246251565e-16,0.7725579926059171,0.0,0.3793677204658901,0.6206322795341098,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,450000,3,91.34333333333332,1.4210854715202004e-14,62.62,0.0,7.919999999999999,8.881784197001252e-16,20.88,0.0,1.0,0.0,0.0,0.0,91.34333333333332,1.4210854715202004e-14,151.10000000000002,0.0,0.6538575930293885,0.0,0.7829366565345725,1.1102230246251565e-16,0.3444259567387687,0.6555740432612313,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,500000,3,92.74333333333334,0.0,63.806666666666665,0.0,7.836666666666667,0.0,21.186666666666667,0.0,1.0,0.0,0.0,0.0,92.74333333333334,0.0,120.0,0.0,0.6810915224311874,0.0,0.7712105725846948,1.1102230246251565e-16,0.4525790349417637,0.5474209650582362,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,550000,3,92.33333333333333,0.0,63.26333333333334,7.105427357601002e-15,7.956666666666667,0.0,21.2,0.0,1.0,0.0,0.0,0.0,92.33333333333333,0.0,142.10000000000002,0.0,0.6429516708754929,0.0,0.7792007712873564,1.1102230246251565e-16,0.6738768718801996,0.3261231281198003,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,600000,3,91.53666666666668,1.4210854715202004e-14,62.580000000000005,7.105427357601002e-15,7.97,0.0,21.066666666666666,0.0,1.0,0.0,0.0,0.0,91.53666666666668,1.4210854715202004e-14,162.0,0.0,0.6399058861533501,0.0,0.7834555844895653,0.0,0.45757071547420963,0.5424292845257903,nan,nan,nan,nan,nan,nan,,nan,nan
E1,M3,SHARED_AC,T2,650000,3,92.42333333333333,0.0,63.419999999999995,7.105427357601002e-15,7.98,0.0,21.106666666666666,0.0,1.0,0.0,0.0,0.0,92.42333333333333,0.0,152.80000000000018,0.0,0.6086726963227209,0.0,0.7999175555892476,1.1102230246251565e-16,0.4292845257903494,0.5707154742096506,nan,nan,nan,nan,nan,nan,,nan,nan
