#{"t_start": 1789913146.5960484, "env_id": "None"}
r,l,t
-33455.383771,601,44.950784
-32906.763339,601,63.158905
-33174.602901,601,69.847892
-33706.220585,601,74.802338
-34104.146007,601,81.018079
-32302.150734,601,86.209687
-34945.340193,601,92.468765
-34224.020747,601,97.018105
-32375.714695,601,104.711173
-33340.696269,601,110.233545
-33212.002742,601,116.154534
-33157.841147,601,120.756222
-37116.568076,601,126.815054
-32447.038619,601,132.100843
-32682.910388,601,139.519124
-32719.456776,601,144.660624
-33231.613971,601,149.703943
-32676.945166,601,156.566542
-32615.171114,601,161.867848
-33167.622827,601,168.190623
-32283.411968,601,172.832915
-32252.320453,601,184.15455
-33437.791935,601,200.896416
-32698.051817,601,216.298057
-32940.310542,601,234.446448
-34715.22747,601,257.826878
-31767.427927,601,277.955599
-32755.470541,601,301.793447
-32007.4965,601,320.194805
-33262.516637,601,344.812759
-32185.734755,601,363.77718
-32458.027916,601,389.30359
-32783.228757,601,409.19142
-32581.062469,601,428.113088
-31937.172575,601,453.278854
-33235.853966,601,476.006028
-32538.256797,601,500.609569
-31399.377512,601,519.026674
-31577.667244,601,542.961824
-32046.8381,601,563.640238
-31800.885624,601,588.222402
-31184.813799,601,606.797577
-32619.136712,601,627.114032
-32351.842306,601,632.820841
-31460.069263,601,639.248198
-32270.513123,601,643.906294
-31910.435633,601,650.274457
-31556.983411,601,654.955035
-32002.634074,601,661.81653
-31750.259389,601,666.438251
-31843.626611,601,671.139471
-30679.878419,601,677.423477
-32078.86968,601,682.740017
