milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.015542999,0.0368701171875,-0.6787866389751435,0.808274507522583,-0.004279540565330535,0.01187346434686333,0.00045904
100000,100000,0.010494582,0.043505859375,-0.6706581532955169,0.9602550268173218,-0.0038130280864425003,0.007584342556074261,0.00041808000000000004
150000,150000,0.008227347,0.0404638671875,-0.6240151929855347,0.9909245371818542,-0.0039277926646173,0.002673469815636054,0.00035664000000000003
200000,200000,0.011167494,0.05109375,-0.5896622228622437,0.9947672486305237,-0.005367314156610519,0.0018262524792226032,0.00031568
250000,250000,0.008064349,0.0434521484375,-0.5445510351657867,0.9956850409507751,-0.005001991970930248,0.0012194434134289622,0.00025424000000000003
300000,300000,0.0064330758,0.041435546875,-0.548169487118721,0.9966499209403992,-0.0055587015836499635,0.0009090578905306757,0.00021328000000000002
350000,350000,0.008459033,0.0487158203125,-0.4810014143586159,0.9975797533988953,-0.005350521388463676,0.0007259430608246476,0.00015183999999999998
400000,400000,0.006918017,0.0275732421875,-0.4855089172720909,0.9978609085083008,-0.004330323762260378,0.0005766356614185497,0.00011087999999999998
450000,450000,0.010235915,0.0308935546875,-0.48531437188386917,0.9983078241348267,-0.0055696331569924954,0.0004995437921024859,6.991999999999998e-05
500000,500000,0.0025009396,0.0044140625,-0.44678801149129865,0.9984225034713745,-0.0014594961900729687,0.0005161228403449059,8.479999999999988e-06
