#{"t_start": 1789913158.0021238, "env_id": "None"}
r,l,t
-32558.837366,601,33.548719
-34724.320211,601,51.753826
-33669.246361,601,58.441816
-35018.143985,601,63.395262
-35981.252105,601,69.613002
-33426.137098,601,74.804612
-35475.757656,601,81.062689
-33580.766931,601,85.612029
-33411.253696,601,93.305097
-35544.362241,601,98.828469
-33981.800616,601,104.748458
-35274.256631,601,109.351146
-33955.33883,601,115.409977
-33245.687027,601,120.693768
-33146.273889,601,128.112047
-33115.726321,601,133.254549
-32739.354605,601,138.298867
-33374.503426,601,145.160466
-33019.697602,601,150.461773
-32901.697257,601,156.78555
-32452.831129,601,161.426839
-33387.378939,601,172.749483
-32955.032157,601,189.491343
-31767.305213,601,204.891981
-32725.845611,601,223.040373
-31973.685225,601,246.421806
-32504.494519,601,266.553523
-32238.836977,601,290.389316
-31784.980496,601,308.787728
-33961.765145,601,333.409684
-32156.595972,601,352.375651
-33175.039451,601,377.900515
-31840.51946,601,397.785344
-32487.018641,601,416.709518
-32430.191142,601,441.875771
-33837.290402,601,464.600956
-32287.208695,601,489.206494
-32838.91351,601,507.625041
-32013.613582,601,531.559768
-32025.228703,601,552.238161
-32205.359267,601,576.816327
-32032.425511,601,595.391502
-32382.038273,601,615.708973
-31565.748084,601,621.415771
-31332.876218,601,627.842122
-31834.24899,601,632.500219
-32278.100297,601,638.86938
-31588.337311,601,643.549907
-31650.170031,601,650.410455
-30775.560888,601,655.032176
-31984.631965,601,659.733396
-31534.946178,601,666.017402
-31506.700345,601,671.334942
