ATT,AWT,AGT_access,AFT,travel_p50,travel_p90,travel_p95,N,N_finished,completion_rate,backlog,system_person_minutes,system_person_minutes_per_passenger,episode_reward,episode_steps,policy_entropy_normalized,mean_policy_max_prob,action_0_share,action_1_share,single_pax_service_departures,turnaround_starts,turnaround_releases,pad_departure_reservations,pad_landing_reservations,service_pad_blocks,reposition_pad_blocks,e6_charger_active_aircraft_steps,e6_charger_wait_aircraft_steps,e6_max_charger_queue,final_queues,fleet_diag,stage,topology,method,eval_seed
28.695945945945947,2.7094594594594597,5.804054054054054,20.45945945945946,28.0,36.0,38.0,300,296,0.9866666666666667,4,9709.0,32.36333333333334,-16281.098305688678,601,nan,nan,0.6855241264559068,0.3144758735440932,0,0,0,0,0,0,0,0,0,0,"{""0"": 3, ""1"": 1, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 31, ""1"": 9}, ""spawned_at_reset"": 40, ""service_arrivals"": 74, ""reposition_departures"": 74, ""reposition_arrivals"": 74, ""fleet_assertions"": 603}",E2,T2,STTF,123
28.695945945945947,2.7094594594594597,5.804054054054054,20.45945945945946,28.0,36.0,38.0,300,296,0.9866666666666667,4,9709.0,32.36333333333334,-16281.098305688678,601,nan,nan,0.6855241264559068,0.3144758735440932,0,0,0,0,0,0,0,0,0,0,"{""0"": 3, ""1"": 1, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 31, ""1"": 9}, ""spawned_at_reset"": 40, ""service_arrivals"": 74, ""reposition_departures"": 74, ""reposition_arrivals"": 74, ""fleet_assertions"": 603}",E2,T2,STTF,124
28.574324324324323,2.6722972972972974,5.77027027027027,20.405405405405407,27.0,36.0,38.0,300,296,0.9866666666666667,4,9673.0,32.24333333333333,-16214.11071652482,601,nan,nan,0.6788685524126455,0.3211314475873544,0,0,0,0,0,0,0,0,0,0,"{""0"": 3, ""1"": 1, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 32, ""1"": 8}, ""spawned_at_reset"": 40, ""service_arrivals"": 74, ""reposition_departures"": 74, ""reposition_arrivals"": 74, ""fleet_assertions"": 603}",E2,T2,STTF,125
28.95608108108108,2.5067567567567566,6.0641891891891895,20.675675675675677,28.0,35.5,38.0,300,296,0.9866666666666667,4,9785.0,32.61666666666667,-16260.918349429085,601,nan,nan,0.7121464226289518,0.2878535773710483,0,0,0,0,0,0,0,0,0,0,"{""0"": 3, ""1"": 1, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 36, ""1"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 74, ""reposition_departures"": 74, ""reposition_arrivals"": 74, ""fleet_assertions"": 603}",E2,T2,QTTI2,123
28.95608108108108,2.5067567567567566,6.0641891891891895,20.675675675675677,28.0,35.5,38.0,300,296,0.9866666666666667,4,9785.0,32.61666666666667,-16260.918349429085,601,nan,nan,0.7121464226289518,0.2878535773710483,0,0,0,0,0,0,0,0,0,0,"{""0"": 3, ""1"": 1, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 36, ""1"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 74, ""reposition_departures"": 74, ""reposition_arrivals"": 74, ""fleet_assertions"": 603}",E2,T2,QTTI2,124
28.969594594594593,2.52027027027027,6.0641891891891895,20.675675675675677,28.0,35.5,38.0,300,296,0.9866666666666667,4,9789.0,32.63,-16251.15280895226,601,nan,nan,0.7121464226289518,0.2878535773710483,0,0,0,0,0,0,0,0,0,0,"{""0"": 3, ""1"": 1, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 36, ""1"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 74, ""reposition_departures"": 74, ""reposition_arrivals"": 74, ""fleet_assertions"": 603}",E2,T2,QTTI2,125
84.58666666666667,58.74333333333333,5.633333333333334,20.293333333333333,80.0,128.0,160.0,300,300,1.0,0,25376.0,84.58666666666667,-37697.83770113736,601,nan,nan,0.6622296173044925,0.33777038269550747,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 19, ""2"": 21}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 279, ""reposition_arrivals"": 279, ""fleet_assertions"": 603}",E3,T2,SPF,123
84.58666666666667,58.74333333333333,5.633333333333334,20.293333333333333,80.0,128.0,160.0,300,300,1.0,0,25376.0,84.58666666666667,-37697.83770113736,601,nan,nan,0.6622296173044925,0.33777038269550747,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""2"": 21, ""0"": 19}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 279, ""reposition_arrivals"": 279, ""fleet_assertions"": 603}",E3,T2,SPF,124
84.84333333333333,59.0,5.633333333333334,20.293333333333333,80.0,128.0,162.0,300,300,1.0,0,25453.0,84.84333333333333,-37795.17247849703,601,nan,nan,0.6622296173044925,0.33777038269550747,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 19, ""2"": 20, ""1"": 1}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 280, ""reposition_arrivals"": 280, ""fleet_assertions"": 603}",E3,T2,SPF,125
64.62,38.36,6.456666666666667,19.866666666666667,51.0,74.0,233.8000000000004,300,300,1.0,0,19386.0,64.62,-28244.548840942945,601,nan,nan,0.6089850249584027,0.3910149750415973,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 16, ""1"": 8, ""2"": 16}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 284, ""reposition_arrivals"": 284, ""fleet_assertions"": 603}",E3,T2,STTF,123
