stage,topology,method,n_eval_seeds,ATT_mean,ATT_std,AWT_mean,AWT_std,AGT_access_mean,AGT_access_std,AFT_mean,AFT_std,completion_rate_mean,completion_rate_std,backlog_mean,backlog_std,system_person_minutes_per_passenger_mean,system_person_minutes_per_passenger_std,travel_p90_mean,travel_p90_std,action_0_share_mean,action_1_share_mean
E0,T2,QTTI2,3,32.945945945945944,0.08199095337508151,3.0484234234234235,0.12883690045904114,7.882882882882883,0.03959098160190756,22.315315315315317,0.031208122658897858,0.9866666666666667,0.0,4.0,0.0,36.55888888888889,0.06577177149754969,38.666666666666664,0.7637626158259734,0.9118136439267887,0.0881863560732113
E0,T2,SPF,3,140.88888888888889,1.355685385907993,114.30555555555556,1.3556853859080056,5.828431372549019,0.0,20.88235294117647,0.0,0.68,0.0,96.0,0.0,213.3411111111111,0.9218660624174412,360.36666666666673,2.8867513459481287,0.6622296173044925,0.33777038269550747
E0,T2,STTF,3,33.652462462462466,0.24934713199769803,4.021216216216216,0.27664102969980314,7.627777777777777,0.037472315710601556,22.264624624624627,0.028741609805094295,0.9911111111111112,0.007698003589194995,2.6666666666666665,2.3094010767585034,36.07,2.3100168349554875,40.833333333333336,1.0408329997330663,0.9068219633943427,0.09317803660565722
E2,T2,QTTI2,3,28.960585585585587,0.007802030664723952,2.5112612612612613,0.007802030664724721,6.0641891891891895,0.0,20.675675675675677,0.0,0.9866666666666667,0.0,4.0,0.0,32.62111111111111,0.007698003589196214,35.5,0.0,0.7121464226289517,0.2878535773710483
E2,T2,SPF,3,29.911036036036037,0.9050355571080625,4.218468468468468,0.893332511110975,5.638513513513513,0.0,20.2972972972973,0.0,0.9866666666666667,0.0,4.0,0.0,33.51888888888889,0.8929684163466213,38.666666666666664,2.0207259421636903,0.6622296173044925,0.33777038269550747
E2,T2,STTF,3,28.655405405405407,0.07021827598252377,2.6970720720720727,0.02145558432799292,5.792792792792793,0.01950507666181193,20.44144144144144,0.031208122658897858,0.9866666666666667,0.0,4.0,0.0,32.32333333333333,0.06928203230275772,36.0,0.0,0.6833056017748197,0.31669439822518025
E3,T2,QTTI2,3,60.97777777777778,0.1742390864853803,35.06999999999999,0.1588500340992526,6.415555555555556,0.0076980035891951884,19.555555555555554,0.007698003589194162,1.0,0.0,0.0,0.0,60.97777777777778,0.1742390864853803,83.33333333333333,0.5773502691896257,0.5701608430393789,0.4298391569606212
E3,T2,SPF,3,84.67222222222223,0.14818656909200045,58.82888888888889,0.14818656909200456,5.633333333333334,0.0,20.293333333333333,0.0,1.0,0.0,0.0,0.0,84.67222222222223,0.14818656909200045,128.0,0.0,0.6622296173044925,0.33777038269550747
E3,T2,STTF,3,71.14777777777778,5.653223596943342,43.35,4.321469657419802,7.025555555555555,0.49267222970848024,20.844444444444445,0.8467803948114502,1.0,0.0,0.0,0.0,71.14777777777778,5.653223596943342,103.53333333333337,25.576616925100463,0.7310038824181918,0.26899611758180814
E4,T2,QTTI2,3,74.9,0.4445597072760095,48.73333333333333,0.38682468035704615,6.5200000000000005,0.023094010767585053,19.711111111111112,0.03849001794597492,1.0,0.0,0.0,0.0,74.9,0.4445597072760095,103.40000000000002,2.9444863728671042,0.5895729339988908,0.4104270660011093
E4,T2,SPF,3,97.81666666666666,0.0,71.97333333333333,0.0,5.633333333333334,0.0,20.293333333333333,0.0,1.0,0.0,0.0,0.0,97.81666666666666,0.0,165.0,0.0,0.6622296173044925,0.33777038269550747
E4,T2,STTF,3,92.34444444444443,0.007698003589196213,63.074444444444445,0.007698003589196214,7.653333333333333,0.0,21.69333333333333,0.0,1.0,0.0,0.0,0.0,92.34444444444443,0.007698003589196213,178.10000000000002,0.0,0.8369384359400999,0.16306156405990016
E5,T2,QTTI2,3,193.82851529790662,12.630560749869895,165.07353301127213,11.536786005114678,7.314389694041869,0.3173027827250656,21.522563607085345,0.7851071138823638,0.7377777777777778,0.08275353858384642,78.66666666666667,24.826061575153908,232.82777777777778,25.55159841343555,445.73333333333335,33.37084555916037,0.7909040488075431,0.20909595119245702
E5,T2,SPF,3,165.42412451361866,0.0,139.84824902723736,0.0,5.568093385214008,1.0877919644084146e-15,20.105058365758754,0.0,0.8566666666666668,1.3597399555105182e-16,43.0,0.0,188.8166666666667,3.4809342861069267e-14,303.4,0.0,0.6622296173044925,0.33777038269550747
E5,T2,STTF,3,168.37978514395792,6.781972252870066,142.22155455953418,6.493301857724833,6.478320116895698,0.158136474755628,19.77011060215513,0.1277755607328319,0.8122222222222222,0.03849001794597504,56.333333333333336,11.547005383792515,205.21555555555554,4.372466038662776,278.3333333333333,17.897858344878397,0.6261785912368275,0.37382140876317244
E6,T2,QTTI2,3,213.59377683719788,1.0859571807741197,182.4754401300454,1.0966716199803352,8.31513771316403,0.034476404669860565,22.807999018525333,0.0005312387460354775,0.6944444444444445,0.001924500897298733,91.66666666666667,0.5773502691896257,266.4244444444444,0.42484419802158874,337.8333333333333,3.636390151418468,0.9240155296727676,0.07598447032723239
E6,T2,SPF,3,196.86590623086863,1.0131694069163575,171.2728381100303,1.007087779415025,5.555870443431664,0.003746441051788154,20.042718938243052,0.00831835832494685,0.8055555555555557,0.006938886664887101,58.333333333333336,2.0816659994661326,224.32333333333335,0.36739321955880344,356.2666666666667,3.852704677669104,0.6622296173044925,0.33777038269550747
