stage,method,method_name,topology,final_step,final_ATT,final_AWT,final_completion,final_backlog,final_Jsys_per_passenger,final_gap_vs_STTF_pct,final_gap_vs_QTTI2_pct,final_gap_vs_best_rule_pct,best_step,best_ATT,best_completion,best_Jsys_per_passenger,best_gap_vs_best_rule_pct,late_Jsys_mean,late_Jsys_std,late_ATT_mean,late_ATT_std,late_completion_mean,best_rule_name,best_rule_Jsys_per_passenger
E0,M0,EA_UAGMC,T2,800000,33.75,3.9566666666666666,1.0,0.0,33.75,-6.431937898530635,-7.683189982676348,-6.431937898530635,400000,32.21666666666667,1.0,32.21666666666667,-10.68293133721467,35.17666666666666,1.3638377225070923,33.01609009009009,0.46482304215106257,0.992,STTF,36.07
E0,M1,PASSENGER_RESIDUAL,T2,800000,32.99662162162162,2.5472972972972974,0.9866666666666667,4.0,36.656666666666666,1.6264670548008484,0.2674528158526608,1.6264670548008484,650000,32.403333333333336,1.0,32.403333333333336,-10.165419092505307,35.32333333333334,2.4582125394051846,33.154108108108105,1.0008624076898343,0.992,STTF,36.07
E0,M2,COARSE_FUTURE,T2,800000,32.83,2.1133333333333333,1.0,0.0,32.83,-8.982533961741066,-10.19967784092636,-8.982533961741066,350000,32.49666666666667,1.0,32.49666666666667,-9.906662970150624,35.64866666666667,1.4175183322349743,32.75248648648649,0.1425982572322264,0.9893333333333334,STTF,36.07
E0,M3,FINE_FUTURE_DEEPSET,T2,800000,33.05067567567568,2.114864864864865,0.9866666666666667,4.0,36.61666666666667,1.515571573791702,0.1580403002765758,1.515571573791702,100000,32.49666666666667,1.0,32.49666666666667,-9.906662970150624,35.49400000000001,1.833096227091687,33.2384054054054,0.18307920186716442,0.992,STTF,36.07
E0,M4,ACTION_CENTER,T2,800000,32.53378378378378,1.2804054054054055,0.9866666666666667,4.0,38.016666666666666,5.396913409111908,3.987478345439627,5.396913409111908,600000,33.358108108108105,0.9866666666666667,37.083333333333336,2.8093521855651105,37.53666666666667,0.40186233131923715,32.990540540540536,0.41908453570166637,0.9866666666666667,STTF,36.07
E0,M5,ACTION_CENTER_CF,T2,800000,32.87162162162162,2.2736486486486487,0.9866666666666667,4.0,36.45666666666666,1.071989649755096,-0.2796097620277835,1.071989649755096,500000,32.656666666666666,1.0,32.656666666666666,-9.463081046114038,36.547333333333334,0.14832996250851654,32.90472972972973,0.12890007794784264,0.9866666666666667,STTF,36.07
E2,M0,EA_UAGMC,T2,800000,30.425675675675677,3.189189189189189,0.9866666666666667,4.0,34.04333333333334,5.321233371145734,4.359821519806539,5.321233371145734,200000,28.616666666666664,1.0,28.616666666666664,-11.467464164174489,33.166,1.5376148918229013,30.255810810810818,0.653281540659127,0.9893333333333333,STTF,32.32333333333333
E2,M1,PASSENGER_RESIDUAL,T2,800000,28.52333333333333,2.31,1.0,0.0,28.52333333333333,-11.75621326183356,-12.561735753942587,-11.75621326183356,800000,28.52333333333333,1.0,28.52333333333333,-11.75621326183356,32.30466666666667,2.1527549274772975,29.38236936936937,1.1299716232405086,0.9893333333333334,STTF,32.32333333333333
E2,M2,COARSE_FUTURE,T2,800000,29.56081081081081,3.554054054054054,0.9866666666666667,4.0,33.19,2.681241621119936,1.7439286079226026,2.681241621119936,550000,28.843333333333334,1.0,28.843333333333334,-10.76621635557388,33.39266666666667,0.41972689533393887,29.738513513513517,0.4411836211626353,0.9866666666666667,STTF,32.32333333333333
E2,M3,FINE_FUTURE_DEEPSET,T2,800000,31.621621621621625,6.216216216216215,0.9866666666666667,4.0,35.71,10.477467257914832,9.468987363329813,10.477467257914832,350000,29.416666666666668,1.0,29.416666666666668,-8.992471898525306,33.611333333333334,2.664740637785723,32.04461261261261,1.1756299551359823,0.9946666666666667,STTF,32.32333333333333
E2,M4,ACTION_CENTER,T2,800000,30.763333333333332,4.346666666666667,1.0,0.0,30.763333333333332,-4.826234918015878,-5.695016860247292,-4.826234918015878,250000,29.456666666666667,1.0,29.456666666666667,-8.86872228524285,34.30466666666666,1.9686177892115062,31.376315315315317,0.8994668998919865,0.9893333333333334,STTF,32.32333333333333
E2,M5,ACTION_CENTER_CF,T2,800000,33.71283783783784,8.266891891891891,0.9866666666666667,4.0,37.27,15.30370217593072,14.25116659286761,15.30370217593072,50000,29.125,0.9866666666666667,32.91,1.8149943281427225,35.736666666666665,2.079110921096377,32.131081081081085,2.0998293349552593,0.9866666666666667,STTF,32.32333333333333
E3,M0,EA_UAGMC,T2,800000,79.39333333333333,49.48,1.0,0.0,79.39333333333333,11.589336748239187,30.200437317784246,30.200437317784246,550000,77.92666666666666,1.0,77.92666666666666,27.795189504373162,80.91466666666665,1.2227557219475829,80.91466666666665,1.2227557219475829,1.0,QTTI2,60.97777777777778
E3,M1,PASSENGER_RESIDUAL,T2,800000,66.62,38.03333333333333,1.0,0.0,66.62,-6.363906110911553,9.252915451895044,9.252915451895044,400000,61.669999999999995,1.0,61.669999999999995,1.135204081632638,66.72466666666666,0.8597586224568429,66.72466666666666,0.8597586224568429,1.0,QTTI2,60.97777777777778
E3,M2,COARSE_FUTURE,T2,800000,74.03666666666666,46.35333333333333,1.0,0.0,74.03666666666666,4.060406352974243,21.415816326530596,21.415816326530596,250000,64.57,1.0,64.57,5.891034985422722,73.37133333333331,1.5322686158474674,73.37133333333331,1.5322686158474674,1.0,QTTI2,60.97777777777778
E3,M3,FINE_FUTURE_DEEPSET,T2,800000,225.70333333333335,199.41,1.0,0.0,225.70333333333335,217.23173988412228,270.140306122449,270.140306122449,600000,197.18666666666664,1.0,197.18666666666664,223.37463556851304,221.25133333333332,20.19806520987153,220.7703537414966,19.69242350495127,0.992,QTTI2,60.97777777777778
E3,M4,ACTION_CENTER,T2,800000,73.76,45.666666666666664,1.0,0.0,73.76,3.671544359939416,20.962099125364432,20.962099125364432,650000,71.20666666666666,1.0,71.20666666666666,16.77478134110786,73.92266666666666,2.182787616278271,73.92266666666666,2.182787616278271,1.0,QTTI2,60.97777777777778
E3,M5,ACTION_CENTER_CF,T2,800000,75.89,46.330000000000005,1.0,0.0,75.89,6.665313197882345,24.455174927113696,24.455174927113696,700000,74.05,1.0,74.05,21.437682215743425,75.88866666666667,1.1041751068859813,75.88866666666667,1.1041751068859813,1.0,QTTI2,60.97777777777778
E4,M0,EA_UAGMC,T2,800000,91.03000000000002,62.69,1.0,0.0,91.03000000000002,-1.423414751534084,21.535380507343135,21.535380507343135,600000,89.08666666666666,1.0,89.08666666666666,18.940809968847333,90.43066666666667,0.8756493463583385,90.43066666666667,0.8756493463583385,1.0,QTTI2,74.9
E4,M1,PASSENGER_RESIDUAL,T2,800000,84.11333333333333,55.85,1.0,0.0,84.11333333333333,-8.913488148237269,12.300845571873595,12.300845571873595,800000,84.11333333333333,1.0,84.11333333333333,12.300845571873595,88.12066666666666,2.2790391737650233,88.12066666666666,2.2790391737650233,1.0,QTTI2,74.9
E4,M2,COARSE_FUTURE,T2,800000,88.74333333333334,60.653333333333336,1.0,0.0,88.74333333333334,-3.899651064853791,18.482421005785493,18.482421005785493,150000,84.97666666666667,1.0,84.97666666666667,13.45349354695149,88.62533333333333,0.833473588197139,88.62533333333333,0.833473588197139,1.0,QTTI2,74.9
E4,M3,FINE_FUTURE_DEEPSET,T2,800000,89.51333333333334,62.29999999999999,1.0,0.0,89.51333333333334,-3.065816387919612,19.510458388963055,19.510458388963055,750000,88.73,1.0,88.73,18.464619492656873,92.90066666666668,3.8989032075985417,92.90066666666668,3.8989032075985417,1.0,QTTI2,74.9
E4,M4,ACTION_CENTER,T2,800000,86.14333333333333,56.67666666666667,1.0,0.0,86.14333333333333,-6.7151967272289665,15.011125945705373,15.011125945705373,100000,81.76333333333334,1.0,81.76333333333334,9.163328882955046,85.224,1.0857100083457945,85.224,1.0857100083457945,1.0,QTTI2,74.9
E4,M5,ACTION_CENTER_CF,T2,800000,173.64333333333335,147.07,1.0,0.0,173.64333333333335,88.03874383347375,131.83355585224743,131.83355585224743,600000,119.69,1.0,119.69,59.79973297730305,137.934,18.886937802501382,137.934,18.886937802501382,1.0,QTTI2,74.9
E5,M0,EA_UAGMC,T2,800000,173.8188679245283,143.38490566037737,0.8833333333333333,35.0,191.97333333333333,-6.452835500882536,-17.547066262616624,1.671815694236016,150000,172.4079422382671,0.9233333333333333,183.86666666666667,-2.6215906081737224,209.06866666666664,12.666855893323412,177.0152958762256,11.541043047822765,0.8266666666666665,SPF,188.8166666666667
E5,M1,PASSENGER_RESIDUAL,T2,800000,179.55859375,151.23828125,0.8533333333333334,44.0,200.96,-2.0737002826296353,-13.687274809706743,6.431282549209983,600000,169.2846153846154,0.8666666666666667,194.09666666666666,2.7963633153852796,203.38933333333335,5.4446550344759626,179.14743623595,6.334934172485834,0.8566666666666667,SPF,188.8166666666667
E5,M2,COARSE_FUTURE,T2,800000,173.6138613861386,143.1881188118812,0.6733333333333333,98.0,238.75,16.341083088784703,2.543606385263306,26.445405596257377,200000,162.67293233082708,0.8866666666666667,181.00666666666666,-4.1362874040074304,237.16666666666669,3.97674741465937,180.22374178973027,6.88415779019768,0.692,SPF,188.8166666666667
E5,M3,FINE_FUTURE_DEEPSET,T2,800000,191.67965367965368,161.66233766233765,0.77,69.0,226.73333333333332,10.485451611855288,-2.6175761769548385,20.08120752052253,450000,171.61666666666667,0.8000000000000002,211.27,11.891605613911194,223.9213333333333,4.817136816731609,187.73573045982192,2.025883883383032,0.7733333333333333,SPF,188.8166666666667
