cell_id,row,method,status,elapsed_seconds,late_Jsys_mean,late_Jsys_std
E0__M0,E0,M0,DONE,0.0,381.01200000000006,6.289071862277357
E0__M1,E0,M1,DONE,0.0013320446014404297,329.69933333333336,4.69138946487189
E0__M2,E0,M2,DONE,0.0009942054748535156,372.47,6.520280498397089
E0__M3,E0,M3,DONE,0.0,315.29200000000003,8.268548871745537
E0__M4,E0,M4,DONE,0.0009951591491699219,354.98266666666666,8.447276063257847
E1__M0,E1,M0,DONE,0.0,65.52533333333334,2.344481558421345
E1__M1,E1,M1,DONE,0.0,83.55733333333333,3.678457043683152
E1__M2,E1,M2,DONE,0.0010020732879638672,88.80533333333332,3.5267855052441126
E1__M3,E1,M3,DONE,0.0015070438385009766,92.36,1.3243044295864195
E1__M4,E1,M4,DONE,0.0014867782592773438,182.1706666666667,14.004067885201554
E2__M0,E2,M0,DONE,2186.2282087802887,92.67933333333335,1.9108478630062535
E2__M1,E2,M1,DONE,2336.301810503006,87.43533333333333,1.4720335141112377
E2__M2,E2,M2,DONE,2494.0282769203186,158.23533333333333,37.825532446865694
E2__M3,E2,M3,DONE,2403.7307369709015,91.93666666666665,1.8068388601827952
E2__M4,E2,M4,DONE,2564.6523706912994,151.68266666666665,35.89370557013521
E4__M0,E4,M0,DONE,2217.7205295562744,260.9526666666667,0.5921688948264628
E4__M1,E4,M1,DONE,2351.5186791419983,236.46466666666666,3.9092656883642745
