#{"t_start": 1789981015.9328687, "env_id": "None"}
r,l,t
-42396.321581,601,13.076475
-40859.354563,601,20.634259
-43253.900782,601,29.980586
-43233.777354,601,36.783087
-42201.980183,601,45.78127
-41981.977119,601,53.242192
-44416.659986,601,62.327109
-41222.5847,601,69.450133
-39362.536115,601,78.377945
-43306.849298,601,85.850853
-40415.653654,601,94.970174
-42799.889795,601,102.088747
-40124.524786,601,111.029713
-39415.293112,601,118.576516
-41987.77384,601,127.706838
-39776.553191,601,134.762925
-40006.936667,601,141.90133
-40303.856869,601,151.067259
-40045.804771,601,158.889353
-38613.023271,601,167.894823
-37564.621599,601,175.150407
-35940.596567,601,184.285563
-40301.331658,601,192.554613
-34993.708417,601,202.162413
-36349.166926,601,209.691356
-40331.551267,601,219.512367
-35457.54793,601,228.136031
-39458.5899,601,238.123416
-37146.827711,601,245.822313
-36843.30527,601,255.718893
-37196.859424,601,264.356959
-36741.904879,601,274.272256
-39516.962364,601,281.969373
-36697.86202,601,290.00809
-38950.413214,601,300.744287
-39210.521309,601,308.76017
-40537.065193,601,318.854807
-38412.200607,601,326.894567
-39942.852728,601,337.492852
-42085.61804,601,345.659558
-37411.281368,601,355.3679
-38487.154451,601,363.283189
-42161.383671,601,373.245859
-37991.670126,601,381.714871
-36226.81823,601,391.46786
-35248.065574,601,399.34163
-37614.259556,601,408.799637
-37332.073613,601,417.520773
-36294.290158,601,427.267964
-39000.524499,601,434.610873
-35509.567196,601,442.014991
-33588.395533,601,452.162102
-36361.591931,601,459.638982
-37596.198331,601,468.767843
-35269.006659,601,476.089899
-34566.537315,601,486.191966
-31721.950453,601,493.470421
-35287.044686,601,502.859273
-38600.661214,601,510.187983
-37684.066173,601,519.749453
-36117.228458,601,527.064601
-35776.951416,601,536.294217
-41715.987896,601,543.463011
-37853.789761,601,552.472965
-38857.86549,601,560.071847
-42506.259935,601,567.115709
-31995.354621,601,576.161895
-35498.166706,601,583.184651
-41508.412914,601,592.948153
-31912.722197,601,599.911225
-32903.157695,601,608.798868
-33423.110293,601,615.912615
-32042.634711,601,626.197987
-34082.772811,601,633.335323
-31689.049528,601,642.464895
-34739.108677,601,649.649898
-33907.200582,601,659.871321
-40442.804878,601,667.67196
-32271.246437,601,677.243982
-36374.232639,601,684.893498
-32262.919354,601,695.274796
-33500.713759,601,703.178971
-36482.753018,601,711.020335
-31595.816737,601,720.743103
-35659.569229,601,728.745448
