#{"t_start": 1789970316.8765864, "env_id": "None"}
r,l,t
-67047.885892,601,10.506173
-67033.639026,601,17.934045
-65908.213119,601,26.712647
-66379.939838,601,33.68083
-66135.605241,601,42.185071
-65093.244439,601,49.754667
-67137.356997,601,58.194329
-66197.69904,601,65.072875
-66792.780519,601,73.811415
-65348.272021,601,81.157224
-66504.976576,601,89.356481
-66143.488285,601,95.755689
-65739.336221,601,103.959761
-66163.19132,601,111.120664
-65695.73417,601,119.52248
-65429.676423,601,126.146598
-65475.891484,601,132.711752
-65864.930416,601,141.465929
-66786.832967,601,147.700969
-65728.344391,601,155.706241
-65902.223812,601,161.841202
-67224.364035,601,170.427171
-65797.126309,601,176.332129
-66945.643426,601,183.977407
-66258.776541,601,190.065273
-65528.241158,601,198.207212
-66731.579673,601,204.607865
-65716.996082,601,212.414524
-66210.631561,601,218.359397
-66332.368731,601,226.043292
-65590.62626,601,232.608541
-65210.356201,601,240.185597
-66077.833477,601,246.136971
-66214.318219,601,252.152867
-66870.633867,601,260.504315
-66638.620273,601,266.567112
-66672.776386,601,274.486754
-66178.478797,601,280.504978
-66611.885897,601,289.072718
-66586.719071,601,295.336698
-66831.020664,601,303.03198
-65687.208873,601,309.254995
-67037.543553,601,317.74715
-66799.524827,601,324.504933
-66051.185935,601,332.849028
-66014.297401,601,339.558601
-65171.14146,601,348.787687
-66282.363551,601,355.504174
-65805.690941,601,363.820014
-66304.091623,601,370.495353
-66113.887737,601,378.217499
-66820.023396,601,386.929167
-65146.65313,601,393.828473
-67093.209677,601,402.461915
-66345.489242,601,409.845937
-66856.105551,601,418.853565
-67130.2717,601,425.749219
-66446.272426,601,434.293747
-66390.518228,601,440.885928
-66776.469394,601,449.573193
-67270.227198,601,456.136983
-65755.433656,601,464.683427
-66880.689366,601,471.546134
-66475.733834,601,480.65915
-66533.797088,601,487.306493
-67200.012872,601,494.02791
-66994.405951,601,502.555705
-67959.107105,601,510.218099
-67574.493467,601,518.522242
-66603.914529,601,525.331812
-67550.25254,601,533.748172
-67883.486565,601,541.430454
-68027.08644,601,549.589427
-66872.821803,601,556.823858
-67183.671293,601,565.257346
-67494.100954,601,572.738169
-66814.01184,601,580.874244
-67892.911156,601,587.351118
-66644.558735,601,595.533932
-66490.174078,601,602.73278
-67174.142632,601,611.255157
-67436.344368,601,617.683269
-66552.444546,601,624.245668
-67362.812425,601,632.526848
-66960.848902,601,639.461064
