#{"t_start": 1789961791.1263802, "env_id": "None"}
r,l,t
-66966.924661,601,27.832552
-67578.480659,601,44.9307
-71120.792612,601,67.070493
-66434.897406,601,83.408339
-70307.372726,601,105.617328
-65890.412516,601,123.085351
-69846.651954,601,145.384737
-69829.539016,601,162.091708
-66137.13367,601,184.40274
-66931.072388,601,202.221246
-66141.896614,601,224.753029
-66242.381156,601,241.623557
-65991.532751,601,264.151972
-65371.275964,601,282.757671
-62639.21649,601,305.197499
-63884.31494,601,322.2034
-65465.665843,601,339.198297
-66605.758545,601,364.087032
-69453.632415,601,381.621504
-71919.006831,601,405.067929
-70807.194479,601,422.479942
-70660.967422,601,446.29572
-68583.508859,601,463.774505
-71368.591203,601,486.234312
-71385.116606,601,502.751421
-70410.799409,601,525.271793
-71817.294271,601,543.289117
-71936.343716,601,565.851148
-73905.636977,601,582.591238
-71847.623981,601,605.113247
-73485.177806,601,623.094644
-73124.738054,601,645.529194
-72617.870637,601,662.189106
-72904.59353,601,678.783322
-71712.153873,601,703.272827
-72230.411933,601,720.156719
-72324.741729,601,742.829708
-73491.996355,601,759.756113
-74065.560033,601,784.331182
-72923.526787,601,801.23321
-74448.408781,601,823.737316
-74129.650093,601,841.184172
-73604.604098,601,865.779518
-72182.820755,601,883.439966
-73164.463013,601,906.237789
-73864.585509,601,923.546721
-72920.937262,601,947.164488
-69502.805475,601,964.583261
-73250.940833,601,986.918833
-73098.524691,601,1003.512591
-73788.431113,601,1020.581953
-72068.663903,601,1044.535574
-69338.746165,601,1061.18066
-72818.528863,601,1083.471457
-71946.177599,601,1100.158652
-73340.089642,601,1124.254327
-72601.287235,601,1141.003675
-72388.199757,601,1163.450064
-73083.420202,601,1180.332333
-72265.020415,601,1204.889498
-73162.007753,601,1221.915601
-72184.494152,601,1244.557069
-73228.523363,601,1261.632414
-72982.391323,601,1285.945339
-73049.911491,601,1303.33251
-73676.953648,601,1320.348813
-73502.908242,601,1343.471543
-74001.597717,601,1362.190948
-71840.398313,601,1385.799551
-71831.181685,601,1402.890046
-73603.236521,601,1425.499152
-74240.143586,601,1442.833949
-73581.671423,601,1466.406501
-72911.874176,601,1482.647511
-73517.370543,601,1504.836395
-75102.549282,601,1521.968453
-73202.165517,601,1546.045358
-73732.746802,601,1562.794505
-74740.834017,601,1585.121004
-73109.809937,601,1602.001877
-72694.299667,601,1626.034263
-74711.516114,601,1642.902357
-74337.493092,601,1659.898163
-72292.865756,601,1682.543098
-75076.587015,601,1701.179934
