#{"t_start": 1789923526.9350874, "env_id": "None"}
r,l,t
-63944.524784,601,8.383571
-60937.315584,601,13.127295
-62160.530354,601,20.125248
-52537.445808,601,29.012777
-56686.666235,601,37.001402
-47323.082521,601,43.622835
-54341.772016,601,50.249783
-50407.863006,601,55.636511
-47738.491818,601,62.268153
-34701.975174,601,68.015609
-43537.154957,601,75.690697
-34428.728,601,81.642511
-37707.315714,601,88.894812
-38075.944321,601,95.117584
-40033.663637,601,102.118896
-39604.962417,601,107.457274
-41116.188243,601,112.969961
-41792.298038,601,120.090105
-43977.462037,601,125.448478
-44342.765996,601,132.203922
-43156.138979,601,137.860697
-43976.805874,601,145.45155
-42180.852548,601,150.954071
-43326.905144,601,158.167536
-40129.121762,601,163.651717
-42652.948238,601,170.8011
-43381.761709,601,174.359316
-45602.662542,601,180.5626
-41718.083837,601,185.354109
-43760.299313,601,193.161106
-38994.247531,601,198.368436
-39679.205241,601,205.167002
-37864.939341,601,210.791184
-36660.439614,601,216.808238
-36267.154498,601,223.704064
-42482.301464,601,229.278703
-43387.161983,601,236.701639
-47084.633231,601,242.745563
-45029.39036,601,250.032244
-51041.998727,601,255.788985
-51710.860087,601,262.798875
-52988.056649,601,268.682398
-55751.738276,601,276.024463
-57918.400273,601,282.220146
-55286.272107,601,290.713825
-55058.583447,601,296.773649
-58669.732067,601,305.895701
-53015.976424,601,312.494345
-53429.009338,601,320.021029
-57108.928877,601,326.488343
-54287.605653,601,333.04063
-45620.319337,601,340.762291
-49191.019314,601,347.381866
-53934.841609,601,354.650854
-49644.471738,601,360.102241
-45879.598736,601,367.567125
-41669.269635,601,374.019247
-48146.621708,601,381.081023
-47261.996955,601,386.428988
-43168.80045,601,393.715974
-40478.357402,601,399.317276
-40320.383833,601,406.396234
-42585.711773,601,411.588948
-41423.738754,601,418.938703
-43735.020622,601,424.712605
-41419.821102,601,429.93147
-44938.386062,601,436.679219
-42648.691501,601,442.13211
-44617.70138,601,449.907911
-45221.407475,601,455.783676
-46537.026177,601,462.840861
-45096.900448,601,468.018644
-44043.969584,601,474.482923
-46411.12063,601,479.858283
-47311.386303,601,486.952452
-49706.999326,601,492.22585
-49868.680954,601,499.093852
-49048.869817,601,504.29507
-49881.691769,601,511.028641
-48575.95834,601,516.166957
-47767.8531,601,523.224436
-46759.359028,601,528.178233
-45379.920855,601,533.705842
-47534.320592,601,540.572895
-48853.514014,601,545.778268
