sim_time,action,chosen_vid,score_v0,score_v1
1,0,0,4.0,9.0
2,1,1,8.0,4.0
3,0,0,8.0,17.732222773525606
4,1,1,11.0,1.0
5,0,0,10.0,18.232222773525606
6,0,0,9.0,13.232222773525608
7,0,0,10.0,12.898889440192276
8,0,0,8.0,11.065556106858946
9,0,0,5.0,9.732222773525612
10,0,0,7.0,8.732222773525613
11,1,1,9.0,7.732222773525615
12,0,0,5.0,7.0
13,1,1,10.0,5.982222773525618
14,1,1,9.0,5.232222773525619
15,1,1,9.0,4.482222773525621
16,0,0,6.0,8.0
17,1,1,9.0,3.0
18,0,0,7.0,7.0
19,1,1,9.0,5.0
20,1,1,9.0,3.0
21,0,0,7.0,7.0
22,1,1,8.0,6.0
23,1,1,8.0,6.0
24,0,0,7.0,7.0
25,1,1,10.0,2.0
26,1,1,7.0,5.0
27,1,1,6.0,5.0
28,1,1,8.0,4.0
29,0,0,6.0,6.0
30,1,1,7.0,5.0
31,1,1,11.0,1.0
32,0,0,6.0,8.0
33,1,1,8.0,4.0
34,1,1,9.0,4.0
35,1,1,11.0,1.0
36,1,1,8.0,6.0
37,1,1,8.0,5.0
38,1,1,9.0,3.0
39,1,1,9.0,3.0
40,0,0,6.0,8.0
41,1,1,8.0,7.0
42,1,1,7.0,5.0
43,0,0,4.0,8.0
44,0,0,7.0,7.0
45,1,1,7.0,4.0
46,1,1,9.0,5.0
47,1,1,8.0,4.0
48,1,1,6.0,5.0
49,1,1,10.0,2.0
50,1,1,8.0,5.0
51,0,0,6.0,8.0
52,1,1,8.0,4.0
53,1,1,8.0,6.0
54,1,1,10.0,2.0
55,0,0,4.0,9.0
56,1,1,10.0,2.0
57,0,0,7.0,7.0
58,0,0,6.0,7.0
59,1,1,9.0,3.0
60,1,1,8.0,7.0
61,0,0,6.0,6.0
62,0,0,4.0,8.0
63,0,0,7.0,7.0
64,1,1,8.0,6.0
65,1,1,9.0,4.0
66,1,1,10.0,2.0
67,1,1,9.0,3.0
68,0,0,5.0,6.0
69,1,1,10.0,3.0
70,1,1,8.0,5.0
71,0,0,7.0,8.0
72,1,1,8.0,6.0
73,0,0,4.0,8.0
74,1,1,8.0,4.0
75,1,1,7.0,6.0
76,1,1,9.0,4.0
77,1,1,7.0,5.0
78,1,1,10.0,3.0
79,1,1,7.0,4.0
80,1,1,11.0,1.0
81,1,1,8.0,4.0
82,1,1,7.0,5.0
83,1,1,8.0,3.0
84,0,0,7.0,7.0
85,1,1,8.0,4.0
86,1,1,7.0,5.0
87,0,0,5.0,6.833333333333333
88,1,1,8.0,4.833333333333333
89,1,1,7.0,6.666666666666667
90,0,0,6.0,7.0
91,0,0,8.0,8.0
92,1,1,8.0,7.0
93,1,1,10.0,2.0
94,1,1,10.0,2.0
95,1,1,8.0,6.0
96,0,0,6.0,8.0
97,0,0,5.0,8.0
98,0,0,5.0,8.0
99,0,0,8.0,8.0
100,0,0,7.0,7.0
101,1,1,9.0,4.0
102,1,1,10.0,2.0
103,0,0,7.0,7.0
104,1,1,9.0,3.5
105,1,1,8.0,7.0
106,0,0,7.0,7.0
107,1,1,7.0,5.0
108,1,1,10.0,2.0
109,0,0,4.0,9.0
110,0,0,6.0,7.0
111,1,1,11.0,1.0
112,1,1,10.0,3.0
113,1,1,9.0,4.0
114,0,0,6.0,6.0
115,0,0,5.0,6.0
116,1,1,9.0,3.0
117,1,1,8.0,5.0
118,1,1,8.0,6.0
119,1,1,10.0,2.0
120,1,1,7.0,4.0
