stage,method,method_name,topology,train_step,n_eval_seeds,ATT_mean,ATT_std,AWT_mean,AWT_std,AGT_access_mean,AGT_access_std,AFT_mean,AFT_std,completion_rate_mean,completion_rate_std,backlog_mean,backlog_std,system_person_minutes_per_passenger_mean,system_person_minutes_per_passenger_std,travel_p90_mean,travel_p90_std,policy_entropy_normalized_mean,policy_entropy_normalized_std,mean_policy_max_prob_mean,mean_policy_max_prob_std,action_0_share_mean,action_1_share_mean,SPF_Jsys_per_passenger,gap_vs_SPF_pct,STTF_Jsys_per_passenger,gap_vs_STTF_pct,QTTI2_Jsys_per_passenger,gap_vs_QTTI2_pct,best_rule_name,best_rule_Jsys_per_passenger,gap_vs_best_rule_pct
E6,M0,EA_UAGMC,T2,50000,3,283.6875,0.0,258.7604166666667,0.0,5.927083333333333,0.0,19.0,0.0,0.32,0.0,204.0,0.0,363.3966666666667,5.684341886080802e-14,456.5,0.0,0.9145290999823806,0.0,0.6627277264777515,0.0,0.0,1.0,224.32333333333335,61.99682006627339,235.08666666666667,54.57987125315488,266.4244444444444,36.39764452711215,SPF,224.32333333333335,61.99682006627339
E6,M0,EA_UAGMC,T2,100000,3,271.74468085106383,0.0,246.5390070921986,2.842170943040401e-14,6.078014184397163,0.0,19.170212765957448,0.0,0.47,0.0,159.0,0.0,328.54,0.0,430.0,0.0,0.7588814284142366,1.1102230246251565e-16,0.7595881501370777,0.0,0.016638935108153077,0.9833610648918469,224.32333333333335,46.458237365707234,235.08666666666667,39.75271531066557,266.4244444444444,23.314510680534838,SPF,224.32333333333335,46.458237365707234
E6,M0,EA_UAGMC,T2,150000,3,198.09016393442622,2.842170943040401e-14,170.53688524590163,0.0,7.209016393442622,8.881784197001252e-16,20.39344262295082,0.0,0.8133333333333334,0.0,56.0,0.0,223.14333333333335,0.0,340.40000000000003,0.0,0.8690712040850995,1.1102230246251565e-16,0.6627891997926049,0.0,0.4841930116472546,0.5158069883527454,224.32333333333335,-0.52602642019704,235.08666666666667,-5.08039588236962,266.4244444444444,-16.245172698534493,SPF,224.32333333333335,-0.52602642019704
E6,M0,EA_UAGMC,T2,200000,3,224.50222222222223,0.0,198.60888888888886,2.842170943040401e-14,6.48888888888889,8.881784197001252e-16,19.533333333333335,0.0,0.75,0.0,75.0,0.0,254.24333333333334,0.0,357.6000000000001,5.684341886080802e-14,0.6902817138576128,0.0,0.7687931162942071,0.0,0.32945091514143093,0.670549084858569,224.32333333333335,13.337890247707914,235.08666666666667,8.148767830303717,266.4244444444444,-4.572069629913827,SPF,224.32333333333335,13.337890247707914
E6,M0,EA_UAGMC,T2,250000,3,197.42083333333332,0.0,169.94166666666666,0.0,7.208333333333333,0.0,20.316666666666666,0.0,0.8000000000000002,1.1102230246251565e-16,60.0,0.0,224.63666666666666,0.0,345.0,0.0,0.7072745978768197,1.1102230246251565e-16,0.7512096114047554,0.0,0.4292845257903494,0.5707154742096506,224.32333333333335,0.13967933191671433,235.08666666666667,-4.445169157473847,266.4244444444444,-15.684663569408876,SPF,224.32333333333335,0.13967933191671433
E6,M0,EA_UAGMC,T2,300000,3,193.51054852320672,2.842170943040401e-14,166.27848101265823,0.0,6.9831223628691985,0.0,20.282700421940927,0.0,0.79,0.0,63.0,0.0,223.92999999999998,2.842170943040401e-14,341.8,0.0,0.7263782434292677,0.0,0.7373329806645182,0.0,0.4292845257903494,0.5707154742096506,224.32333333333335,-0.1753421400656969,235.08666666666667,-4.745767518362034,266.4244444444444,-15.949904496584399,SPF,224.32333333333335,-0.1753421400656969
E6,M0,EA_UAGMC,T2,350000,3,199.21399176954733,0.0,171.76543209876544,0.0,7.082304526748971,0.0,20.39917695473251,0.0,0.81,0.0,57.0,0.0,223.82333333333335,2.842170943040401e-14,345.8,0.0,0.6610491146263985,0.0,0.7741457673158503,0.0,0.46755407653910147,0.5324459234608985,224.32333333333335,-0.22289255093094787,235.08666666666667,-4.791140855854573,266.4244444444444,-15.9899408629505,SPF,224.32333333333335,-0.22289255093094787
E6,M0,EA_UAGMC,T2,400000,3,198.8530612244898,0.0,171.31020408163263,2.842170943040401e-14,7.159183673469388,8.881784197001252e-16,20.420408163265307,0.0,0.8166666666666668,1.1102230246251565e-16,55.0,0.0,222.52666666666667,0.0,343.0,0.0,0.620295870038705,0.0,0.7950893036537678,0.0,0.49417637271214643,0.5058236272878536,224.32333333333335,-0.8009272330118791,235.08666666666667,-5.3427104897484625,266.4244444444444,-16.4766329415886,SPF,224.32333333333335,-0.8009272330118791
E6,M0,EA_UAGMC,T2,450000,3,195.67634854771782,2.842170943040401e-14,168.44398340248964,0.0,7.04149377593361,0.0,20.228215767634854,0.0,0.8033333333333333,0.0,59.0,0.0,222.63333333333333,0.0,341.0,0.0,0.5828076868476353,0.0,0.8111839575101056,0.0,0.405990016638935,0.5940099833610649,224.32333333333335,-0.7533768221466155,235.08666666666667,-5.297337152255912,266.4244444444444,-16.436596575222488,SPF,224.32333333333335,-0.7533768221466155
E6,M0,EA_UAGMC,T2,500000,3,198.0,0.0,170.5569105691057,0.0,7.126016260162602,0.0,20.349593495934958,0.0,0.82,0.0,54.0,0.0,222.1833333333333,2.842170943040401e-14,343.5,0.0,0.589964095446351,0.0,0.8022721839228804,0.0,0.4209650582362729,0.5790349417637272,224.32333333333335,-0.9539801179844761,235.08666666666667,-5.488755919802639,266.4244444444444,-16.605499995829547,SPF,224.32333333333335,-0.9539801179844761
