#{"t_start": 1789924940.8544462, "env_id": "None"}
r,l,t
-61388.170754,601,36.135438
-59626.023523,601,43.548454
-59212.129932,601,52.059885
-52505.706911,601,59.914401
-49075.161547,601,69.121836
-48048.653861,601,76.708298
-43308.89596,601,86.112402
-37958.580246,601,93.188971
-40212.231621,601,101.868167
-36090.903922,601,109.48698
-37151.98551,601,118.46421
-35152.407198,601,125.653955
-37618.297503,601,134.521145
-35383.878481,601,142.175234
-34763.465368,601,151.110472
-37264.725699,601,157.920385
-39221.60558,601,165.107306
-39094.3431,601,173.865231
-37347.494511,601,180.940076
-38738.76732,601,189.328634
-39273.813767,601,196.237294
-39951.647697,601,205.163814
-40499.899315,601,212.232926
-38237.769151,601,220.275774
-43249.49611,601,226.607687
-41196.754118,601,234.849408
-40988.0549,601,241.708
-41862.670083,601,250.154885
-42676.184413,601,257.221636
-42981.841534,601,265.464821
-44175.188461,601,272.220466
-40601.234808,601,280.661382
-43365.357908,601,287.775487
-41807.698173,601,294.237782
-43718.64976,601,302.212296
-46264.670091,601,309.512149
-44317.51751,601,318.20283
-46322.780426,601,325.020554
-48088.579479,601,332.780052
-48097.891216,601,339.521914
-50856.542959,601,347.542925
-48952.409959,601,353.690636
-47523.264404,601,361.570342
-48752.735028,601,367.737557
-49619.064657,601,375.785536
-48007.641899,601,382.30849
-47629.621895,601,390.19182
-48513.799052,601,396.310384
-49209.729524,601,404.970818
-49363.112302,601,411.143962
-48368.882671,601,417.508185
-51197.795845,601,425.426412
-49566.996467,601,431.846783
-47383.517525,601,440.23065
-48634.020086,601,446.82977
-47428.691931,601,454.778605
-42816.77065,601,461.169106
-42186.381891,601,469.872521
-44296.64713,601,476.529692
-42104.745374,601,484.60196
-42772.40439,601,490.871586
-45318.744638,601,498.757211
-41524.050412,601,505.820691
-39996.962203,601,514.035029
-35623.132432,601,520.900607
-36129.472161,601,527.82957
-35504.525684,601,536.703158
-35289.189098,601,543.67291
-35950.175318,601,552.76985
-35715.109368,601,560.446567
-36237.784561,601,570.478454
-35006.01917,601,577.785367
-34985.556744,601,586.30371
-36302.234663,601,593.407032
-37152.925802,601,602.546592
-34459.17793,601,609.831407
-34586.572135,601,618.809669
-35818.869849,601,626.480304
-34348.357283,601,635.561955
-33737.646083,601,643.11639
-33893.710785,601,651.902493
-34998.010146,601,658.962132
-35389.830836,601,666.392873
-34791.096441,601,675.288556
-34907.74602,601,682.63228
