#{"t_start": 1789981905.892873, "env_id": "None"}
r,l,t
-44253.898298,601,23.656725
-41578.82343,601,31.348415
-44208.219892,601,40.964844
-41572.960862,601,48.251837
-41547.852565,601,57.646266
-44774.763413,601,65.763488
-43553.243577,601,75.249693
-45957.834675,601,82.523376
-44247.008374,601,91.671934
-45120.033605,601,99.538591
-47592.498331,601,108.761087
-45046.091014,601,115.849582
-43627.141098,601,125.114404
-43546.023301,601,132.996868
-41263.764006,601,142.304486
-43868.534395,601,149.638846
-40138.753197,601,156.883523
-40459.013049,601,166.228399
-45275.120065,601,173.994885
-38980.41555,601,183.415103
-41916.13594,601,190.662888
-41899.71023,601,200.047765
-41257.438462,601,208.195369
-44151.173221,601,217.688539
-47701.985589,601,224.954394
-46401.158403,601,234.265482
-46154.896905,601,242.320128
-44136.860307,601,251.6011
-42769.837902,601,259.326209
-48485.124843,601,268.902081
-48921.006548,601,277.374007
-47840.562799,601,287.184983
-45916.860096,601,295.088254
-46621.021056,601,302.858817
-49000.516786,601,313.407725
-44317.781702,601,321.354302
-48165.275992,601,331.484231
-48855.282779,601,339.365403
-50157.755899,601,350.032799
-51017.128595,601,358.109039
-52568.750153,601,368.168503
-46108.4848,601,376.224058
-44333.818519,601,386.784742
-48218.414071,601,395.294703
-49890.251979,601,405.280735
-48069.918658,601,413.38886
-52799.765277,601,423.573607
-48678.165319,601,432.431572
-46997.908446,601,442.393389
-50847.958695,601,450.495327
-48249.233096,601,458.520676
-48991.116033,601,469.509404
-48296.73313,601,477.442698
-47424.69756,601,487.653677
-47129.3924,601,495.531007
-45127.317956,601,506.113389
-43575.917786,601,513.846086
-48978.617138,601,523.452978
-47038.635021,601,531.154223
-46977.597189,601,541.527338
-46714.724309,601,549.259183
-44810.903034,601,558.891495
-46938.533883,601,566.355797
-38194.007245,601,576.432301
-49354.528767,601,584.014291
-49080.439835,601,591.250351
-41294.626496,601,600.448961
-48159.520287,601,608.137914
-49480.435154,601,617.796967
-46592.526331,601,625.10065
-41785.06932,601,634.402045
-43892.186249,601,641.772346
-43310.674468,601,652.148528
-39926.45645,601,659.47342
-35932.8735,601,668.903124
-40353.230729,601,676.287874
-44882.676367,601,686.521552
-42925.955741,601,693.817489
-42909.947609,601,703.197924
-40988.980762,601,710.693815
-44801.149588,601,720.956205
-44697.843014,601,728.439586
-37690.994265,601,735.93371
-40915.773615,601,745.777986
-37067.663837,601,754.192053
