stage,method,method_name,topology,train_step,n_eval_seeds,ATT_mean,ATT_std,AWT_mean,AWT_std,AGT_access_mean,AGT_access_std,AFT_mean,AFT_std,completion_rate_mean,completion_rate_std,backlog_mean,backlog_std,system_person_minutes_per_passenger_mean,system_person_minutes_per_passenger_std,travel_p90_mean,travel_p90_std,policy_entropy_normalized_mean,policy_entropy_normalized_std,mean_policy_max_prob_mean,mean_policy_max_prob_std,action_0_share_mean,action_1_share_mean,action_2_share_mean,action_3_share_mean,action_4_share_mean,action_5_share_mean,SPF_Jsys_per_passenger,gap_vs_SPF_pct,STTF_Jsys_per_passenger,gap_vs_STTF_pct,QTTI2_Jsys_per_passenger,gap_vs_QTTI2_pct,best_rule_name,best_rule_Jsys_per_passenger,gap_vs_best_rule_pct
J2,M4,SHARED_UQ_AC,T2,50000,3,89.37455830388693,0.0,63.27561837455831,7.105427357601002e-15,6.586572438162544,0.0,19.551236749116608,0.0,0.9433333333333334,0.0,17.0,0.0,112.27333333333333,0.0,182.80000000000004,2.842170943040401e-14,0.971243551410525,1.1102230246251565e-16,0.2404253698773868,0.0,0.024958402662229612,0.0,0.07321131447587355,0.4559068219633943,0.021630615640599,0.4242928452579035,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,100000,3,227.4959677419355,0.0,201.32661290322577,2.842170943040401e-14,6.540322580645161,0.0,19.741935483870968,0.0,0.8266666666666667,0.0,52.0,0.0,246.66,0.0,322.0,0.0,0.9560951962978249,1.1102230246251565e-16,0.27222796503497837,0.0,0.22296173044925124,0.021630615640599,0.3277870216306156,0.044925124792013306,0.08485856905158069,0.2978369384359401,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,150000,3,216.5695652173913,0.0,189.6695652173913,0.0,6.8304347826086955,0.0,20.234782608695653,0.0,0.7666666666666667,0.0,70.0,0.0,254.57666666666668,2.842170943040401e-14,380.1000000000001,5.684341886080802e-14,0.9195369620492864,0.0,0.30514126448286155,0.0,0.049916805324459225,0.09484193011647253,0.19467554076539098,0.1497504159733777,0.1996672212978369,0.31114808652246256,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,200000,3,156.1237113402062,0.0,128.7422680412371,0.0,6.948453608247423,0.0,20.7319587628866,0.0,0.3233333333333333,0.0,203.0,0.0,346.7266666666667,0.0,354.3999999999999,5.684341886080802e-14,0.8802810420444652,0.0,0.3351699686338025,0.0,0.043261231281198,0.12146422628951747,0.04825291181364392,0.08319467554076539,0.405990016638935,0.2978369384359401,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,250000,3,114.11111111111113,1.4210854715202004e-14,86.74074074074075,0.0,7.0555555555555545,8.881784197001252e-16,20.703703703703702,0.0,0.18000000000000002,2.7755575615628914e-17,246.0,0.0,382.5,0.0,315.6,0.0,0.857679867489635,0.0,0.3563682772901015,5.551115123125783e-17,0.04159733777038269,0.029950083194675542,0.019966722129783693,0.08985024958402661,0.5540765391014975,0.26455906821963393,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,300000,3,127.21348314606742,0.0,100.04494382022472,0.0,6.853932584269663,0.0,20.617977528089888,0.0,0.2966666666666667,0.0,211.0,0.0,341.77,0.0,316.2,0.0,0.8462379217581045,1.1102230246251565e-16,0.3644419687609506,0.0,0.029950083194675542,0.08319467554076539,0.043261231281198,0.41264559068219636,0.1996672212978369,0.23128119800332778,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,350000,3,143.41860465116278,0.0,115.86821705426355,1.4210854715202004e-14,7.054263565891472,8.881784197001252e-16,20.767441860465116,0.0,0.43,0.0,171.0,0.0,307.21,0.0,336.0,0.0,0.808042392690012,0.0,0.4182333449357361,0.0,0.06655574043261231,0.09484193011647253,0.08485856905158069,0.38269550748752074,0.16472545757071547,0.20632279534109818,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,400000,3,136.4245283018868,0.0,108.95283018867924,0.0,7.009433962264151,0.0,20.849056603773583,0.0,0.35333333333333333,0.0,194.0,0.0,325.38666666666666,0.0,364.5,0.0,0.7995916550153903,0.0,0.42090114207315366,0.0,0.028286189683860232,0.13643926788685523,0.1264559068219634,0.3227953410981697,0.2096505823627288,0.1763727121464226,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,450000,3,98.23684210526316,0.0,70.01754385964912,0.0,7.350877192982456,0.0,21.31578947368421,0.0,0.38000000000000006,5.551115123125783e-17,186.0,0.0,309.75666666666666,0.0,308.0,0.0,0.7862229510064522,0.0,0.42731947105954377,5.551115123125783e-17,0.07653910149750416,0.07986688851913477,0.04658901830282861,0.4891846921797005,0.18635607321131445,0.12146422628951747,nan,nan,nan,nan,nan,nan,,nan,nan
J2,M4,SHARED_UQ_AC,T2,500000,3,81.39166666666667,0.0,52.92499999999999,7.105427357601002e-15,7.5,0.0,21.466666666666665,0.0,0.4000000000000001,5.551115123125783e-17,180.0,0.0,290.0133333333333,0.0,250.30000000000004,2.842170943040401e-14,0.8149622895511962,0.0,0.4147563238260948,5.551115123125783e-17,0.03494176372712146,0.12312811980033278,0.051580698835274545,0.49584026622296173,0.17970049916805322,0.11480865224625623,nan,nan,nan,nan,nan,nan,,nan,nan
