#{"t_start": 1789988143.9784288, "env_id": "None"}
r,l,t
-44300.722183,601,22.631273
-41578.82343,601,29.295203
-43905.582945,601,37.554684
-42138.033385,601,44.028244
-39675.345991,601,52.104488
-44324.501448,601,58.786959
-41578.95918,601,67.114622
-42436.09765,601,73.735705
-44877.852496,601,81.655377
-39315.550564,601,88.544026
-43693.245234,601,96.479163
-43203.318748,601,102.86811
-45163.829409,601,110.847574
-40270.55537,601,117.803845
-45014.178336,601,125.935427
-43772.866215,601,132.277683
-44670.901771,601,138.771863
-39659.377746,601,146.839847
-41928.026355,601,153.852348
-42505.682877,601,161.964408
-42677.069529,601,168.523563
-41881.34196,601,176.527448
-42632.11019,601,183.775697
-44995.690578,601,191.860234
-40854.933721,601,198.461838
-40967.678265,601,206.635902
-38043.253324,601,214.022351
-44640.074687,601,222.264488
-35656.189507,601,228.854955
-40588.487939,601,237.137047
-40645.845862,601,244.382948
-37648.961309,601,252.552702
-48973.685029,601,259.325369
-38850.487562,601,266.129498
-42615.998449,601,275.119681
-37061.616471,601,281.823992
-48803.094696,601,290.423541
-43116.162202,601,297.208882
-41415.099397,601,306.788152
-43614.755539,601,313.819891
-40634.527905,601,322.475063
-38407.345133,601,329.689013
-38235.428378,601,339.010161
-40911.410097,601,346.269705
-40906.889816,601,355.416931
-37758.870798,601,362.538164
-43635.674541,601,371.407904
-42036.702235,601,379.167465
-39216.295955,601,388.249813
-44230.913662,601,395.257322
-37367.473594,601,402.316568
-46180.143062,601,411.829012
-47790.607305,601,418.916863
-40017.092084,601,427.858386
-35903.823743,601,435.05563
-38442.175642,601,444.632935
-35266.514539,601,451.625654
-33358.045651,601,460.105438
-37429.944842,601,467.253589
-37578.558998,601,476.882919
-33455.855125,601,484.016895
-40018.31768,601,492.63502
-34529.760627,601,499.436135
-33520.374562,601,508.487089
-35288.045625,601,515.420526
-35831.344863,601,522.166806
-34427.922247,601,530.587108
-33085.649728,601,537.606322
-33244.569703,601,546.809155
-34158.268937,601,553.392502
-31197.160326,601,561.683831
-32368.271055,601,568.112064
-30787.792875,601,577.064247
-34856.894525,601,583.552077
-30124.180439,601,591.746471
-29560.450338,601,598.090877
-33097.335942,601,606.701451
-29240.149972,601,613.05203
-32234.009243,601,621.150627
-30328.312608,601,627.5508
-30611.143824,601,636.521994
-28014.777783,601,643.057852
-26765.074998,601,649.586011
-29014.363381,601,657.873998
-30052.179237,601,664.984304
