#{"t_start": 1789988155.6873329, "env_id": "None"}
r,l,t
-41548.764945,601,10.924388
-41236.626207,601,17.5883
-41524.974773,601,25.84578
-42382.106034,601,32.322341
-39889.384095,601,40.397576
-42991.913271,601,47.081564
-44612.240765,601,55.409242
-40128.4033,601,62.027795
-41838.236237,601,69.948495
-43714.972334,601,76.835122
-41781.994022,601,84.771268
-41966.757983,601,91.159206
-40730.627228,601,99.139671
-38559.779713,601,106.094941
-39919.484316,601,114.231043
-39629.654564,601,120.569787
-42138.222566,601,127.062959
-38014.769454,601,135.131942
-39286.173296,601,142.143444
-44389.350358,601,150.260021
-44140.738062,601,156.81565
-40637.71109,601,164.819544
-41937.744272,601,172.067791
-44475.046974,601,180.15133
-42512.935278,601,186.752934
-39482.775132,601,194.930006
-37494.567995,601,202.313447
-37977.588041,601,210.556593
-39465.9168,601,217.146051
-45479.731243,601,225.430748
-38244.375175,601,232.677045
-40664.400427,601,240.847804
-49222.90566,601,247.621469
-37073.874729,601,254.420594
-38356.308378,601,263.410777
-39328.118661,601,270.11809
-39361.955413,601,278.715638
-43457.408107,601,285.504979
-47550.885273,601,295.079248
-45256.282056,601,302.117016
-36897.457422,601,310.7687
-38354.304834,601,317.98411
-44509.33569,601,327.304778
-43166.522724,601,334.564235
-34137.334122,601,343.71202
-38720.277668,601,350.82926
-40425.192769,601,359.700001
-44622.201018,601,367.459562
-37823.081318,601,376.54491
-42181.856424,601,383.549372
-38693.66411,601,390.6122
-34435.726701,601,400.124116
-43624.6746,601,407.211965
-41519.822497,601,416.154483
-35727.25136,601,423.346726
-36683.709044,601,432.928063
-38166.483747,601,439.920741
-38191.648355,601,448.401537
-40292.179895,601,455.545693
-41226.418188,601,465.177054
-37914.51645,601,472.307991
-38478.721967,601,480.926116
-36600.550669,601,487.728249
-33127.473888,601,496.785201
-35603.385056,601,503.711622
-33131.854096,601,510.461919
-31541.464853,601,518.882217
-31504.514692,601,525.898418
-32613.879995,601,535.100251
-30771.716841,601,541.6876
-28877.952645,601,549.974927
-35307.741449,601,556.407175
-30410.918498,601,565.35636
-38521.234261,601,571.846172
-30828.068253,601,580.037567
-34250.656659,601,586.384984
-30101.054464,601,594.992547
-28567.082731,601,601.343126
-32616.690879,601,609.443722
-30267.573094,601,615.843904
-30154.925671,601,624.814086
-27579.952694,601,631.350975
-25411.715477,601,637.87817
-27123.181459,601,646.165094
-27164.972571,601,653.276128
