#{"t_start": 1789928206.9124875, "env_id": "None"}
r,l,t
-34249.848208,601,27.48316
-33875.804376,601,33.54972
-35488.862438,601,41.003484
-30039.513065,601,46.821503
-34248.740342,601,53.720464
-38189.094318,601,60.207899
-37666.580514,601,67.722345
-37411.049139,601,73.99326
-34142.095217,601,81.636354
-36939.823973,601,87.914335
-38882.918499,601,95.328871
-41498.683256,601,101.205091
-33679.192316,601,108.666509
-42819.482356,601,114.598657
-44550.513092,601,122.66158
-34807.071587,601,128.676022
-43904.29714,601,134.700944
-39828.707754,601,142.080521
-41108.118611,601,148.462844
-44882.845569,601,156.109566
-40296.552965,601,162.272641
-41769.829311,601,170.053487
-42293.771741,601,176.41575
-43672.350157,601,183.867095
-40089.572124,601,190.040187
-41440.54941,601,197.344417
-46308.778015,601,204.073833
-40775.832097,601,211.830608
-40872.158362,601,218.068226
-40340.516474,601,225.425165
-39555.852814,601,231.966918
-40471.662156,601,239.868461
-38589.386066,601,245.852072
-41859.971967,601,252.091898
-41217.934555,601,259.481469
-37412.629581,601,265.973318
-41275.644962,601,273.383354
-41330.203686,601,279.604882
-41141.982239,601,287.360596
-40286.952683,601,294.70563
-39329.097806,601,303.384213
-40878.628284,601,310.604866
-39203.969044,601,318.638242
-40315.071063,601,325.40562
-38235.219209,601,333.295647
-38622.052307,601,339.705021
-37354.796864,601,347.404429
-38629.419736,601,354.098658
-38629.045085,601,362.204729
-39817.491281,601,367.89401
-38244.635471,601,373.933221
-39805.994993,601,382.087832
-38046.432906,601,388.910331
-38831.912231,601,396.740062
-36783.575863,601,403.045276
-38290.789971,601,410.622
-37366.87844,601,417.244175
-37656.55706,601,424.656742
-37046.010761,601,430.331041
-38874.826256,601,437.690247
-37473.899759,601,444.172006
-39590.76613,601,451.782007
-37988.524666,601,457.283537
-38310.752592,601,464.452424
-38788.984429,601,471.000361
-36733.19017,601,477.196891
-38617.122246,601,484.776537
-37907.963258,601,490.570364
-38484.180334,601,498.290523
-35574.512846,601,504.497416
-37417.063814,601,512.013615
-35612.382087,601,518.017161
-37891.938902,601,525.806036
-38386.954185,601,532.374432
-35281.956782,601,539.749329
-35456.413316,601,545.538789
-35704.05582,601,552.430164
-34788.280441,601,558.643137
-35013.305275,601,566.318034
-34585.201685,601,572.137398
-35606.807217,601,579.468423
-36405.70725,601,585.597402
-36805.08644,601,592.362535
-35839.631112,601,599.818357
-35761.930091,601,606.728908
