#{"t_start": 1789979306.3953958, "env_id": "None"}
r,l,t
-42468.912455,601,15.650929
-43642.412281,601,22.576588
-41833.377965,601,30.75259
-42381.543194,601,37.631183
-41165.358186,601,46.076586
-40403.290309,601,53.522802
-41132.949783,601,62.199554
-40067.954084,601,69.228309
-39751.312971,601,77.627711
-40991.589778,601,85.171153
-43311.793896,601,94.216853
-40485.285975,601,101.130148
-42386.331827,601,109.798033
-47907.992621,601,117.558476
-42769.889599,601,126.074463
-44845.341481,601,133.090561
-39278.137913,601,140.243359
-40646.883515,601,149.029128
-40547.085042,601,156.728123
-40153.27672,601,165.419327
-43689.526339,601,172.420846
-39198.578637,601,181.097436
-40923.072599,601,188.709833
-37914.231661,601,197.236084
-44849.450364,601,204.189585
-40415.614903,601,212.913113
-47972.191901,601,220.466105
-42692.61273,601,228.891018
-36791.175772,601,235.626984
-45056.452751,601,243.89919
-44760.194073,601,251.175641
-42777.294577,601,259.542074
-41702.649209,601,266.246302
-47650.208971,601,272.691648
-43600.713544,601,281.583003
-48791.070794,601,288.183746
-39471.061869,601,296.435681
-42176.536515,601,303.051157
-51691.694857,601,312.077348
-51286.1588,601,318.571604
-36492.760377,601,326.460546
-40542.311042,601,332.901978
-41029.717812,601,341.408331
-39336.409295,601,348.306161
-39591.258779,601,356.437566
-46557.714464,601,362.954268
-46846.457605,601,371.105503
-39130.120744,601,378.450321
-40126.812106,601,386.601349
-35593.65893,601,393.196442
-38450.358282,601,399.762612
-35633.732375,601,408.599744
-41387.094321,601,415.172862
-39548.544571,601,423.333691
-44196.226586,601,429.842008
-45008.532514,601,438.846673
-41842.566887,601,445.37471
-43538.083271,601,453.804947
-43597.41848,601,460.57294
-42688.357019,601,469.958321
-43839.81593,601,476.759717
-42177.049552,601,485.098785
-41304.518431,601,492.009552
-47441.164905,601,501.44849
-39666.466317,601,508.295496
-39982.846758,601,515.482059
-37140.431088,601,524.199328
-36660.021688,601,531.810261
-48299.921405,601,540.862782
-36212.751706,601,547.97497
-37710.660801,601,556.734631
-35421.715909,601,563.887401
-33806.289848,601,573.298567
-32050.205223,601,580.307741
-36031.183688,601,589.118258
-33853.344677,601,595.99182
-32577.101034,601,605.453216
-32939.234265,601,612.442565
-33905.435675,601,621.215108
-31014.150126,601,628.416137
-32301.820495,601,638.169905
-36705.105272,601,645.203661
-28620.799042,601,652.238138
-31505.00245,601,660.934951
-33259.861939,601,668.925648
