#{"t_start": 1789988968.1703346, "env_id": "None"}
r,l,t
-42394.455593,601,16.323151
-43845.78289,601,23.792812
-40973.830058,601,32.724155
-42413.732817,601,39.980796
-42566.233261,601,48.849084
-40479.51862,601,56.475221
-43784.315017,601,65.340104
-40120.553995,601,72.625121
-42468.89128,601,81.424788
-40125.766884,601,89.338455
-48884.961847,601,98.428672
-46045.310067,601,105.664889
-48346.214398,601,114.610422
-50049.371964,601,122.562513
-45577.424223,601,131.86602
-49173.49845,601,139.040292
-47496.32399,601,146.204542
-44306.026534,601,155.163996
-44017.491272,601,162.795632
-45672.994439,601,171.455781
-46622.546103,601,178.588747
-44355.416468,601,187.211185
-47087.431693,601,194.927518
-41675.724367,601,203.799804
-45884.156135,601,210.778116
-48776.120355,601,219.30742
-42183.253442,601,226.955109
-41940.717737,601,235.436175
-46147.408294,601,242.293808
-41342.229512,601,250.758093
-43217.956252,601,258.394531
-46898.774938,601,266.973698
-47865.95099,601,273.883857
-48368.634099,601,280.91862
-49195.296677,601,290.204617
-46812.360817,601,297.144306
-48297.277724,601,305.848685
-44308.862294,601,312.731313
-44698.912563,601,322.089429
-49186.217109,601,329.124565
-52203.924384,601,337.911064
-50562.817416,601,345.038093
-43935.774947,601,354.309163
-43779.671363,601,361.647631
-50177.733366,601,370.157662
-42995.236948,601,377.198105
-49168.090304,601,385.982117
-39873.211522,601,393.749685
-46320.990587,601,402.393864
-45735.647039,601,409.489197
-44187.211246,601,416.782003
-40123.926466,601,426.380423
-43111.553454,601,433.61792
-41808.77939,601,442.410977
-43442.404738,601,449.723957
-47963.191575,601,459.372564
-44702.056714,601,466.633821
-43436.606468,601,475.685043
-44446.101211,601,483.061213
-42367.293965,601,492.972387
-43320.398548,601,500.418361
-45096.956409,601,509.506929
-41919.848226,601,517.008182
-41104.452404,601,527.060881
-39737.785665,601,534.658873
-41972.217594,601,542.10643
-40293.436299,601,551.183615
-37697.564946,601,558.938049
-36894.263688,601,568.55847
-39190.831446,601,575.886521
-39270.104415,601,584.778404
-38859.425714,601,592.04845
-35419.853677,601,601.481042
-39400.500578,601,608.84104
-35584.53167,601,617.636778
-33758.480157,601,624.909511
-38730.302725,601,634.499566
-35170.751846,601,641.68913
-35043.586722,601,650.47198
-33674.452131,601,657.605396
-36799.192081,601,667.280571
-32953.699073,601,674.254078
-35786.785555,601,681.340083
-34412.990583,601,690.055879
-34383.281458,601,697.775532
