#{"t_start": 1789971090.3798249, "env_id": "None"}
r,l,t
-66591.625838,601,22.3806
-66375.671507,601,29.0261
-67324.963708,601,37.333671
-65553.772209,601,43.991067
-65423.751536,601,52.219614
-66291.672208,601,59.491434
-66617.081419,601,67.847925
-65751.130728,601,74.545692
-67460.023909,601,82.950459
-65631.185547,601,90.612363
-65912.029859,601,99.356071
-66317.550793,601,106.39229
-65776.508943,601,115.144357
-66487.591732,601,122.949105
-66076.257566,601,131.900835
-66802.596218,601,138.827481
-66096.926152,601,146.083514
-66463.335726,601,155.500637
-69324.428508,601,162.462829
-69934.4834,601,170.982263
-70152.549768,601,178.148084
-70325.030707,601,187.518324
-70737.487335,601,194.679757
-68882.291394,601,203.549532
-71399.397519,601,210.473691
-68874.648019,601,219.258014
-71622.710483,601,227.02068
-69687.567811,601,235.707077
-69550.808612,601,242.752293
-71697.266676,601,251.249348
-72433.65322,601,259.078093
-71564.704091,601,267.805959
-70206.215241,601,274.190325
-70463.688448,601,280.980809
-70202.261569,601,289.948927
-71471.166147,601,296.448431
-69600.425422,601,304.683935
-69466.601507,601,311.407859
-69311.759584,601,320.486926
-67932.363507,601,326.945983
-70150.213986,601,334.906556
-68446.470535,601,341.555962
-68436.580091,601,350.24539
-67148.461297,601,356.542449
-67976.096158,601,364.437693
-68715.31244,601,370.505817
-67338.0756,601,379.334282
-65844.91631,601,385.58169
-67421.084043,601,393.537232
-66766.369479,601,399.65237
-66271.979263,601,406.582621
-66264.612088,601,414.743741
-65333.480541,601,421.031225
-66604.027177,601,428.843165
-65274.19924,601,435.62223
-65827.613399,601,443.861728
-65569.461389,601,450.201502
-66093.20379,601,458.261174
-65800.07464,601,465.11797
-65688.73906,601,473.359379
-65676.791401,601,479.713775
-64749.879019,601,487.679476
-65072.504596,601,494.13385
-64814.473421,601,502.805855
-66359.625922,601,509.210773
-65331.447678,601,515.891665
-65101.235346,601,524.221611
-65201.317314,601,531.944816
-65681.892449,601,540.540587
-65563.902174,601,547.470391
-65059.757805,601,555.843248
-64412.981441,601,563.820405
-65230.812771,601,572.457563
-65318.591017,601,579.578772
-65389.127918,601,588.096717
-65476.762196,601,595.830115
-65581.744656,601,604.529119
-65598.887234,601,611.700097
-64895.271454,601,620.429398
-65616.027552,601,628.265762
-65837.426303,601,636.96853
-65816.016311,601,644.161106
-66088.369327,601,651.446275
-65379.231192,601,660.794488
-66171.422531,601,668.019101
