#{"t_start": 1789959212.0592785, "env_id": "None"}
r,l,t
-37103.404031,601,44.257332
-36046.074317,601,64.139522
-36417.630419,601,89.075406
-41530.205161,601,108.436848
-37939.145533,601,133.463102
-37513.855346,601,153.832558
-37087.654366,601,178.46804
-39868.240149,601,197.285728
-39401.173086,601,221.773255
-38054.052284,601,242.045079
-44273.428641,601,266.972247
-44388.970931,601,286.038721
-36415.450772,601,310.823271
-45341.551129,601,331.749854
-47166.729382,601,356.909679
-49505.175282,601,376.00482
-49201.696322,601,395.216052
-51743.648671,601,420.381156
-55989.298166,601,441.762008
-51550.30389,601,466.804139
-55476.99627,601,486.216274
-55200.106266,601,511.127698
-62107.994445,601,532.352763
-60508.346209,601,557.119105
-65441.427211,601,576.51838
-60564.509122,601,601.668399
-64271.536993,601,622.834867
-66067.486277,601,647.823402
-67060.573344,601,667.022407
-69505.222966,601,691.930482
-71618.165241,601,712.975923
-69419.056296,601,737.965555
-71531.197533,601,757.251739
-69751.115448,601,776.577145
-74009.663418,601,803.2395
-72738.84835,601,822.538597
-72586.582799,601,847.649105
-73603.47496,601,866.864704
-74311.309704,601,893.633793
-71082.981128,601,913.56935
-71547.078822,601,938.821625
-74369.942431,601,958.338639
-73831.980736,601,984.247322
-74765.840138,601,1004.959955
-73322.244023,601,1029.964541
-71525.642889,601,1049.276151
-74361.643373,601,1074.296746
-67897.551151,601,1095.816231
-69665.634463,601,1120.871935
-62766.544554,601,1140.130529
-65061.001668,601,1159.452647
-58497.708584,601,1186.20445
-58946.530104,601,1205.146488
-59227.823222,601,1229.947373
-57865.47941,601,1249.250756
-54875.702444,601,1276.302818
-53443.800672,601,1295.409544
-56773.773023,601,1320.301499
-51795.205687,601,1339.611726
-48118.174492,601,1366.416054
-48234.701171,601,1385.808134
-48913.685557,601,1410.758749
-45939.518487,601,1430.433474
-45536.916828,601,1456.958642
-42173.92334,601,1477.014604
-44702.995579,601,1496.250453
-42504.164733,601,1521.432357
-41655.846625,601,1540.992723
-42176.757696,601,1567.952458
-44518.874421,601,1587.332097
-42915.861626,601,1612.27036
-40351.186382,601,1631.572952
-42741.083505,601,1658.97198
-43457.934702,601,1678.22088
-43521.930781,601,1703.399913
-43629.012565,601,1722.895428
-42013.500191,601,1750.046895
-42671.034089,601,1769.54424
-39253.133097,601,1794.483404
-44518.112196,601,1813.822065
-44474.820307,601,1840.996472
-46158.973473,601,1860.591179
-47310.986268,601,1880.168881
-48301.069344,601,1905.398536
-44824.283823,601,1925.85832
