#{"t_start": 1789959235.3842542, "env_id": "None"}
r,l,t
-36913.609079,601,20.936346
-37276.519262,601,40.815475
-36558.448075,601,65.753345
-39553.987891,601,85.113862
-36028.14679,601,110.141126
-37350.862043,601,130.509663
-38949.885732,601,155.144065
-36892.340899,601,173.962757
-40663.176106,601,198.449279
-42432.561802,601,218.722103
-43219.274564,601,243.65027
-42461.032295,601,262.715745
-43504.453885,601,287.499297
-47425.99813,601,308.426884
-45743.24292,601,333.585699
-50138.42488,601,352.680863
-47379.038218,601,371.892083
-50603.657037,601,397.059085
-52642.554129,601,418.440109
-53647.452204,601,443.480164
-57724.213076,601,462.894313
-57770.065768,601,487.804722
-62451.803021,601,509.028788
-61006.954903,601,533.798129
-61777.46617,601,553.197404
-61927.45973,601,578.34642
-69892.551,601,599.512905
-68643.562816,601,624.500417
-63774.458124,601,643.69837
-62897.594244,601,668.607502
-68063.208104,601,689.653855
-70559.997123,601,714.642573
-69864.400766,601,733.928841
-69144.042623,601,753.257178
-72702.631471,601,779.916539
-72754.413158,601,799.218619
-71899.76201,601,824.326129
-76389.667968,601,843.542754
-72752.628638,601,870.313822
-73600.733291,601,890.249413
-75268.65333,601,915.497649
-73580.0145,601,935.015663
-74504.147129,601,960.920346
-72384.867915,601,981.638991
-72237.823451,601,1006.640562
-72666.937673,601,1025.953171
-71790.73029,601,1050.972769
-69411.779623,601,1072.497253
-69704.078268,601,1097.548965
-67970.169572,601,1116.806565
-64990.614568,601,1136.128671
-59737.654716,601,1162.880475
-58466.910289,601,1181.823512
-56815.61855,601,1206.622397
-51726.57333,601,1225.927786
-54503.808588,601,1252.979844
-52510.932265,601,1272.084568
-52920.377607,601,1296.980081
-47720.222347,601,1316.287764
-50077.157667,601,1343.094089
-49712.605284,601,1362.48516
-49444.085966,601,1387.436769
-41921.332419,601,1407.112511
-48661.267511,601,1433.635666
-43760.260281,601,1453.691628
-45494.710588,601,1472.927477
-41268.395086,601,1498.108385
-41171.135001,601,1517.670753
-39851.558006,601,1544.628484
-41536.783637,601,1564.010123
-43723.826149,601,1588.951383
-42724.891008,601,1608.24998
-40786.228597,601,1635.649006
-42881.414491,601,1654.897909
-44418.468333,601,1680.076938
-46167.214266,601,1699.575489
-44824.206996,601,1726.723931
-40344.714094,601,1746.220271
-39804.291379,601,1771.161434
-43782.8969,601,1790.498113
-42248.717532,601,1817.672593
-45575.047567,601,1837.268196
-46333.223589,601,1856.844907
-52877.898752,601,1882.07958
-44085.721916,601,1902.534383
