#{"t_start": 1789959214.0235531, "env_id": "None"}
r,l,t
-38185.674203,601,42.293057
-38040.081357,601,62.176176
-36887.886368,601,87.111131
-39269.629646,601,106.472574
-41775.084352,601,131.498827
-36856.726859,601,151.868284
-39479.018773,601,176.504766
-42286.466674,601,195.322459
-36923.740418,601,219.80898
-43584.99182,601,240.081805
-42216.829072,601,265.006973
-42633.183866,601,284.074446
-42648.553527,601,308.858996
-49540.404619,601,329.785579
-45721.27761,601,354.9464
-43571.856954,601,374.040545
-46812.687267,601,393.250777
-52265.324795,601,418.416882
-51159.681179,601,439.798805
-53322.64077,601,464.839865
-55622.018703,601,484.251999
-56995.62088,601,509.165423
-62505.656858,601,530.388488
-63465.728894,601,555.15583
-60709.624871,601,574.555106
-61045.964487,601,599.704124
-64778.007998,601,620.870593
-68634.108546,601,645.859127
-63139.137079,601,665.058133
-67277.953901,601,689.967201
-70591.371742,601,711.012645
-69503.744545,601,736.00128
-72053.377224,601,755.287464
-71083.511622,601,774.61387
-71966.963017,601,801.275226
-70569.503439,601,820.575321
-74165.193555,601,845.68483
-72007.054724,601,864.90043
-73047.649681,601,891.670516
-71362.594648,601,911.606086
-76911.273735,601,936.85635
-73411.907493,601,956.373367
-74402.79996,601,982.279046
-74982.631073,601,1002.99568
-72035.494588,601,1028.000266
-73897.901684,601,1047.311877
-73302.158621,601,1072.33347
-69724.527101,601,1093.852954
-69904.084124,601,1118.907661
-64901.23538,601,1138.166254
-65318.158242,601,1157.488372
-63484.721751,601,1184.240175
-55167.61815,601,1203.182214
-56960.295142,601,1227.983098
-50012.148621,601,1247.286481
-56884.633426,601,1274.339541
-52306.832122,601,1293.444297
-53953.743295,601,1318.337224
-48689.687079,601,1337.646445
-50290.379232,601,1364.451779
-50145.806487,601,1383.845861
-49569.806588,601,1408.79347
-46186.103687,601,1428.470212
-47441.922775,601,1454.993367
-46490.349249,601,1475.05033
-43538.614641,601,1494.287176
-45409.007491,601,1519.469086
-43318.195195,601,1539.029465
-42758.678794,601,1565.987181
-44631.075065,601,1585.367822
-42761.671484,601,1610.306086
-45534.832701,601,1629.609677
-42137.868318,601,1657.007705
-44197.612935,601,1676.253609
-41580.201271,601,1701.436639
-41961.560048,601,1720.93214
-45360.607731,601,1748.08262
-41728.699816,601,1767.579966
-39828.303332,601,1792.51913
-48361.328319,601,1811.85779
-43279.179948,601,1839.033294
-44500.464017,601,1858.627819
-45718.475808,601,1878.204607
-46676.579456,601,1903.434262
-47082.511777,601,1923.894046
