#{"t_start": 1789972755.6396136, "env_id": "None"}
r,l,t
-67003.532878,601,15.958853
-66610.28551,601,23.194674
-63439.768399,601,31.611667
-66203.734709,601,38.487123
-65034.488678,601,46.900755
-65210.786302,601,54.152191
-66309.911024,601,62.654587
-65325.190724,601,69.484728
-66060.197069,601,77.769751
-65695.637973,601,85.035539
-65432.054623,601,93.112861
-66151.01379,601,99.794137
-65689.296852,601,107.804505
-65687.386281,601,114.962833
-66301.231296,601,123.164939
-66125.622294,601,129.588867
-65935.990942,601,136.126799
-66545.267062,601,145.035594
-68401.228853,601,151.511599
-67052.685912,601,159.650774
-66575.066748,601,166.160591
-67923.121501,601,174.891634
-70014.714864,601,181.572191
-67785.514368,601,189.447951
-68402.31554,601,195.980828
-68065.082934,601,204.452329
-68379.830682,601,211.702121
-67664.976378,601,219.71875
-67102.623376,601,226.437519
-67775.381981,601,234.915508
-67680.505971,601,242.132897
-67096.816469,601,250.491854
-67777.074098,601,257.013838
-67867.876219,601,263.617553
-66273.971382,601,272.707665
-67475.672221,601,279.332196
-67096.816014,601,287.544359
-65950.828452,601,294.376291
-65785.18172,601,303.629299
-66967.914935,601,310.377112
-67769.078306,601,318.790535
-67286.555939,601,325.79524
-67996.142163,601,335.257252
-66731.700352,601,342.176069
-67089.835238,601,350.76924
-66467.537462,601,357.896162
-66615.20394,601,367.48518
-66164.98761,601,374.548956
-66209.593155,601,383.139603
-66177.422648,601,390.252501
-66157.802686,601,397.895967
-66482.415514,601,406.852955
-66052.874423,601,413.905886
-66316.048598,601,422.802629
-65443.198482,601,430.330535
-67066.171783,601,439.607591
-66254.068115,601,446.712851
-66728.501019,601,455.589556
-66024.258823,601,463.088732
-66124.085377,601,472.285656
-65439.040354,601,479.320527
-65433.915642,601,487.74862
-65006.177161,601,494.876305
-65786.09147,601,504.319522
-66283.039285,601,511.410175
-64787.545535,601,518.456354
-65180.008281,601,526.99198
-65980.55456,601,534.527885
-66186.279553,601,542.798674
-65925.201721,601,549.51012
-65972.403661,601,557.698934
-64675.310396,601,565.23045
-65974.950971,601,573.456688
-65960.31515,601,580.22251
-65714.527313,601,588.53633
-65656.06919,601,595.926034
-65843.881185,601,604.05568
-65690.641662,601,610.546185
-65893.308496,601,618.792546
-64807.546031,601,625.903319
-65467.48402,601,634.075017
-65671.561159,601,640.513297
-65735.434867,601,647.084234
-65838.589632,601,655.679358
-65676.950557,601,662.568628
