milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.0046251705,0.0,-1.7909668695926666,0.5667610168457031,-0.0007777400244958699,0.011523760370910168,0.0004744
100000,100000,0.010035418,0.0404296875,-1.7647784817218781,0.9343453049659729,-0.0063596545299515125,0.005877237988170236,0.0004488
150000,150000,0.014406042,0.0872509765625,-1.6929852783679962,0.9820190072059631,-0.013059711230453104,0.004321104057598859,0.0004104
200000,200000,0.016544327,0.08705078125,-1.6317100751399993,0.9872614741325378,-0.018083956483751537,0.0033323005749844015,0.00038480000000000003
250000,250000,0.016009066,0.0951318359375,-1.5686744475364685,0.9895696043968201,-0.019148484489414842,0.00399578069569543,0.00034640000000000007
300000,300000,0.017952222,0.0954150390625,-1.5675443279743195,0.9915754199028015,-0.019266655780375005,0.0031625463580712675,0.0003208
350000,350000,0.01597202,0.095859375,-1.5328285312652588,0.9931002855300903,-0.01973012467380613,0.0026163992565125227,0.0002824
400000,400000,0.016601752,0.0844775390625,-1.531532039642334,0.9931595325469971,-0.018628137605264782,0.0024457971681840717,0.0002568
450000,450000,0.017174955,0.099052734375,-1.5027330470085145,0.9937272667884827,-0.021469283932819962,0.0026994780311360954,0.0002312
500000,500000,0.015282395,0.0969287109375,-1.4815109860897064,0.9938231706619263,-0.016981943571008743,0.0027139487816020846,0.00019280000000000002
550000,550000,0.015815224,0.089482421875,-1.4682933259010316,0.992280125617981,-0.01713766769040376,0.0024480291758663952,0.00016720000000000003
600000,600000,0.012828368,0.0711767578125,-1.4715778195858003,0.994131863117218,-0.01824306996539235,0.0018196328752674163,0.00012880000000000004
650000,650000,0.010895013,0.0526708984375,-1.4687854743003845,0.9941616654396057,-0.014815875235944987,0.0015268828521948308,0.00010320000000000001
700000,700000,0.008093555,0.040458984375,-1.4373206102848053,0.9922038912773132,-0.01432675754884258,0.0014813461480662226,6.480000000000003e-05
750000,750000,0.0054894844,0.0236767578125,-1.4128719878196716,0.9916753768920898,-0.01095750242471695,0.0013747265259735286,3.920000000000001e-05
800000,800000,0.00012956648,0.0,-1.4471986770629883,0.9899736642837524,-0.0005145419598557055,0.0013773498486261814,8.000000000000229e-07
