#{"t_start": 1789980136.0993295, "env_id": "None"}
r,l,t
-42411.707226,601,16.102989
-43802.376359,601,23.236639
-41846.816814,601,31.626344
-42040.47756,601,38.502632
-41815.710074,601,47.186577
-39557.25814,601,54.968451
-43039.414539,601,63.889016
-40303.728241,601,71.067271
-39486.182239,601,79.804627
-42664.369449,601,87.514074
-43420.337983,601,96.286287
-42436.535067,601,103.321106
-46189.951835,601,112.082546
-43015.396878,601,119.962157
-43092.196399,601,128.854416
-41141.110763,601,136.144577
-46211.645982,601,143.345394
-40482.971689,601,152.327948
-43937.146393,601,160.124945
-43925.038406,601,169.246464
-45694.530792,601,176.765916
-37966.093972,601,185.901667
-44217.521789,601,194.033824
-45963.181321,601,203.133049
-43860.310444,601,210.740764
-45543.895749,601,219.825627
-44550.189175,601,228.126783
-40319.440086,601,237.097946
-42185.635692,601,244.501039
-41712.453443,601,253.773039
-42841.494005,601,261.923321
-43861.667359,601,271.170268
-44005.829649,601,278.529797
-38537.06264,601,285.811464
-43156.134582,601,295.446942
-40565.817562,601,302.809171
-42325.168867,601,311.863761
-39411.490837,601,319.320862
-41297.346656,601,328.670342
-41770.738815,601,336.646024
-41284.475971,601,345.511399
-41410.475313,601,352.810132
-37692.10882,601,361.758088
-40500.440386,601,369.548446
-39652.480665,601,378.238113
-42251.449807,601,385.260278
-41100.340285,601,393.988814
-40145.519836,601,401.776367
-39988.214442,601,410.599964
-39418.473572,601,417.426507
-40756.315359,601,424.37574
-40665.09532,601,433.562929
-42166.158207,601,440.514283
-40305.653163,601,448.941003
-41413.468072,601,455.77771
-39135.885759,601,464.994576
-39632.195691,601,471.948105
-37722.248424,601,480.356657
-40148.380764,601,487.296676
-43137.648456,601,496.26646
-39153.226673,601,503.511345
-38846.228615,601,512.191375
-39247.163064,601,519.259654
-40752.090424,601,528.024322
-40111.1464,601,535.840158
-39696.811103,601,542.979194
-38328.483341,601,551.738492
-39720.348457,601,558.858049
-40662.120782,601,568.485413
-39961.088631,601,575.512999
-40461.147867,601,584.160367
-41293.501033,601,591.305103
-44744.595866,601,601.06257
-40588.45017,601,608.190199
-40531.919244,601,617.002712
-41771.988829,601,624.383425
-40991.009649,601,634.032385
-41168.827992,601,641.290198
-43339.337969,601,650.192511
-41613.566086,601,657.589069
-41354.662237,601,667.374977
-41297.64443,601,675.12459
-40064.289502,601,682.576791
-42858.288786,601,691.661237
-41086.533153,601,699.100307
