#{"t_start": 1789949788.687711, "env_id": "None"}
r,l,t
-37707.90499,601,33.582454
-38187.932721,601,37.978733
-34490.696381,601,48.234299
-35618.694579,601,64.668675
-37376.617172,601,87.196728
-39049.79973,601,105.093815
-39227.081097,601,127.362194
-37180.464695,601,144.012655
-40589.827235,601,166.325255
-42776.170574,601,184.185157
-42887.867356,601,206.501681
-40165.615311,601,223.376888
-39791.656855,601,246.141679
-42548.043969,601,264.141041
-39945.860191,601,286.336389
-41786.695156,601,303.294258
-40982.858419,601,320.109147
-42654.339368,601,342.926072
-41937.545765,601,361.981138
-42021.396026,601,385.107342
-44097.515333,601,402.974994
-41266.659994,601,426.351893
-43806.573833,601,445.801267
-40402.087597,601,468.170453
-41381.40518,601,484.677738
-41571.664664,601,506.950264
-41526.607565,601,525.327266
-44436.155395,601,547.719018
-43434.728336,601,564.487001
-42664.328088,601,586.877443
-42442.422246,601,605.066869
-40782.548629,601,627.078434
-43055.692922,601,643.75141
-42967.123772,601,660.367533
-43236.631897,601,683.138752
-41899.476183,601,701.396194
-41322.837706,601,724.10905
-40746.135598,601,740.811201
-41482.123815,601,763.360922
-40820.033586,601,781.846725
-39572.328028,601,804.373742
-40664.141973,601,821.351394
-43402.886283,601,844.766198
-39735.95047,601,864.179481
-41138.828006,601,887.704592
-40833.960239,601,905.565199
-41745.533116,601,929.352739
-40977.69499,601,947.985677
-43580.60626,601,970.432935
-39203.47161,601,986.937334
-38921.582265,601,1003.494817
-39431.533918,601,1027.739387
-39537.978915,601,1044.672969
-41804.254454,601,1067.054995
-40181.715903,601,1083.553032
-38784.663975,601,1105.825939
-42651.185362,601,1124.101979
-41301.702146,601,1146.430716
-39361.115543,601,1163.140534
-40757.06071,601,1185.779208
-38552.109568,601,1204.721298
-41893.539552,601,1227.332201
-40885.500386,601,1244.375963
-40994.818501,601,1267.080633
-40294.49798,601,1286.052656
-39186.239788,601,1303.755658
-41754.41756,601,1327.437321
-39495.012777,601,1345.701602
-40015.597249,601,1370.827601
-39831.116096,601,1388.816046
-40040.281591,601,1412.160944
-39384.089439,601,1429.019361
-40382.153175,601,1453.120757
-39886.629695,601,1470.727362
-40163.588726,601,1493.264389
-39643.427387,601,1510.123825
-39490.558215,601,1532.840552
-39288.310467,601,1551.623991
-38771.160434,601,1574.100109
-39734.864074,601,1590.863882
-38957.492389,601,1613.261655
-39232.140528,601,1631.860924
-37940.078727,601,1648.578745
-38959.026957,601,1671.346854
-39258.984236,601,1688.318775
