#{"t_start": 1789990857.3473792, "env_id": "None"}
r,l,t
-41762.089809,601,9.612542
-40684.508689,601,18.505091
-42648.181989,601,29.507127
-41141.321649,601,38.210222
-41960.606241,601,49.495234
-43636.986422,601,58.658944
-44810.54561,601,69.468829
-47850.559853,601,78.131398
-44839.605452,601,89.235133
-46073.020646,601,98.400216
-48408.304381,601,109.261426
-46933.439844,601,118.003817
-47781.03622,601,128.728039
-47970.244475,601,137.81638
-45633.433802,601,148.648534
-48336.390319,601,157.380206
-49789.801525,601,165.917967
-49595.78493,601,176.903965
-56089.875846,601,185.9033
-56778.096531,601,196.585118
-56040.820248,601,204.919108
-54930.276972,601,215.445756
-51185.44857,601,224.299241
-45673.469102,601,234.803124
-53461.202697,601,242.741355
-57935.887359,601,253.126835
-60392.45519,601,261.76678
-52103.045024,601,272.205408
-50680.895633,601,280.053769
-53531.473966,601,290.303346
-57395.850683,601,298.988251
-51083.732856,601,309.148206
-54932.506306,601,317.109449
-52290.5766,601,324.949005
-55254.43957,601,336.026417
-49967.071062,601,343.967886
-55498.42117,601,354.450269
-50236.71458,601,362.510905
-47989.709902,601,373.698818
-54138.061747,601,381.755893
-52218.975156,601,392.05449
-50232.591099,601,400.128041
-49122.063887,601,410.968054
-49080.095131,601,419.117185
-48137.463203,601,429.803881
-46794.368299,601,438.169609
-48166.305335,601,448.785639
-42751.358836,601,458.091053
-43809.966852,601,468.793392
-42099.164902,601,477.24011
-47532.962958,601,485.988104
-43218.609717,601,497.930738
-42388.197427,601,506.511845
-44967.090594,601,517.21818
-43971.695422,601,525.94028
-41514.954268,601,537.889711
-41763.096619,601,546.426553
-43109.823238,601,557.452765
-39865.879706,601,566.142557
-39624.935368,601,577.813455
-39283.677539,601,586.331864
-37292.51188,601,597.31775
-35108.835248,601,605.757765
-34860.605255,601,617.344418
-36842.247117,601,626.009842
-38319.799867,601,634.399507
-34092.115513,601,645.619668
-35943.50776,601,654.61546
-36713.753742,601,665.817644
-39019.982401,601,674.095674
-36851.439701,601,684.652272
-39578.006491,601,692.931214
-33224.202668,601,704.408716
-38486.873505,601,712.60557
-39137.183456,601,723.187248
-34393.64034,601,731.369167
-33754.868701,601,742.422175
-34329.280751,601,750.358836
-32338.188417,601,760.528527
-34967.928606,601,768.429802
-35425.389395,601,779.462892
-36116.626666,601,787.315638
-36784.51097,601,795.254686
-34572.431814,601,805.476396
-37782.057427,601,814.237343
