#{"t_start": 1789929783.3504548, "env_id": "None"}
r,l,t
-33166.225721,601,25.811387
-33242.908385,601,32.601312
-33552.140231,601,40.504951
-36694.08114,601,46.979346
-33887.286254,601,54.668849
-33329.913531,601,61.659173
-36331.534846,601,69.573599
-35647.916815,601,76.234102
-32147.664068,601,84.263184
-35759.026559,601,91.345096
-33931.685914,601,99.339579
-38678.761453,601,105.789934
-40215.180487,601,113.770683
-35535.960097,601,120.196123
-38254.584675,601,128.713911
-35746.660506,601,135.081279
-37375.174742,601,141.897216
-37793.804635,601,150.20862
-40980.462483,601,158.045081
-37330.267597,601,166.543539
-39282.538207,601,173.341326
-37843.103828,601,181.516981
-39114.737928,601,188.571992
-39939.443706,601,196.440358
-39581.745227,601,202.919701
-39169.346682,601,210.93212
-40984.210909,601,218.362899
-41042.173375,601,226.177836
-38746.104777,601,232.572838
-37292.357352,601,240.428298
-38118.541599,601,246.919765
-40175.914152,601,255.701288
-40816.448248,601,261.736494
-40552.172568,601,268.160752
-39110.27354,601,276.025765
-39568.935967,601,282.990546
-39690.797835,601,291.060249
-40084.273621,601,297.612886
-38891.754311,601,305.767662
-39229.305051,601,312.597686
-39327.999198,601,320.63494
-39088.622172,601,326.679789
-38677.347038,601,334.311703
-41248.106826,601,341.090736
-39574.20925,601,348.996536
-40979.457959,601,355.289922
-39140.999808,601,363.582938
-39854.114997,601,369.724149
-40821.152566,601,378.19995
-40034.44158,601,384.110558
-39766.719291,601,390.169344
-38487.739252,601,397.772366
-39142.249396,601,405.279334
-39540.5476,601,413.407982
-39516.075459,601,420.093297
-39117.910967,601,427.969455
-39493.438257,601,434.538048
-39946.960475,601,442.481425
-39269.595661,601,448.864308
-39459.632729,601,456.661483
-40278.634341,601,463.782126
-40779.742342,601,471.401276
-39325.33628,601,477.623384
-39116.392898,601,485.686882
-38973.063,601,491.917956
-41055.825833,601,498.960538
-39161.433125,601,506.551267
-39701.043935,601,512.864946
-40556.758449,601,520.508708
-39515.132141,601,527.276943
-39109.518544,601,535.11024
-40672.059747,601,541.533518
-40298.433892,601,549.693201
-39809.01341,601,556.891771
-40098.051634,601,564.746591
-40232.663,601,571.061003
-40336.064224,601,579.259248
-40205.617917,601,586.725502
-40023.346606,601,595.506646
-40933.887084,601,601.999712
-39664.862738,601,609.950033
-39864.759193,601,616.115945
-39023.487259,601,623.014056
-40514.028592,601,631.020354
-39436.277146,601,637.328301
