#{"t_start": 1789971916.9108634, "env_id": "None"}
r,l,t
-66204.856159,601,12.112423
-66728.976796,601,18.757256
-67562.393179,601,26.743427
-67061.848794,601,33.125134
-64914.63049,601,41.261079
-65451.224706,601,48.2454
-66282.391014,601,56.471464
-65956.588361,601,63.140667
-66685.266621,601,71.350766
-66037.872097,601,78.733324
-65078.411372,601,87.263871
-65644.583574,601,94.014055
-65503.953486,601,102.354895
-66136.212124,601,109.693109
-66267.35546,601,118.179666
-66053.438298,601,124.939889
-66520.339842,601,131.728138
-66238.012692,601,140.80664
-66424.332549,601,147.554533
-65723.831379,601,155.859715
-66152.823522,601,162.67993
-66472.554832,601,171.721618
-66037.349029,601,178.752574
-66575.645684,601,187.018949
-65767.585868,601,194.021976
-66237.054893,601,202.754156
-66240.290846,601,210.404654
-66447.520542,601,219.074409
-66231.786505,601,226.287549
-66672.711836,601,235.28809
-66183.128897,601,243.282323
-66517.843765,601,252.319496
-65680.009528,601,259.45285
-65770.897868,601,266.542955
-65525.119083,601,276.171838
-66015.3838,601,283.289486
-65792.91671,601,292.014685
-66038.475781,601,299.166961
-65667.018729,601,308.591207
-65799.617044,601,315.707139
-65843.551218,601,324.605456
-65682.944627,601,331.733521
-66545.973709,601,341.096664
-65986.457403,601,348.034215
-65089.456386,601,356.767917
-65689.797591,601,363.946754
-65223.536619,601,373.610628
-66141.519002,601,380.686404
-65742.029581,601,389.347021
-66773.923837,601,396.462667
-65743.880947,601,404.274321
-66004.05134,601,413.088986
-66100.72762,601,420.014374
-66425.234918,601,428.565305
-65572.669457,601,435.873223
-65992.70223,601,444.548506
-66119.535634,601,451.406552
-65850.572944,601,460.02267
-66942.596398,601,467.029605
-67092.570238,601,476.018505
-65735.64962,601,482.609436
-65903.297714,601,490.840929
-65962.99184,601,497.653358
-66321.962903,601,506.506875
-65530.452209,601,513.091946
-66042.241568,601,519.741093
-66593.481883,601,528.043785
-66285.078313,601,535.411688
-66393.538072,601,543.788561
-67102.095063,601,550.500858
-66336.917409,601,558.8236
-66597.730187,601,566.330106
-66065.905903,601,574.877337
-66583.632054,601,581.711496
-66704.231683,601,590.159869
-66316.589037,601,597.690281
-66095.179697,601,606.016132
-65863.454062,601,612.851432
-67447.60702,601,621.208958
-65747.493489,601,628.866356
-65846.099162,601,637.23612
-66267.51341,601,644.089081
-67621.233387,601,650.923802
-66546.642986,601,659.9896
-66070.337503,601,666.994859
