sim_time,action,chosen_vid,score_v0,score_v1
1,0,0,4.0,9.0
2,1,1,9.016523839724123,4.0
3,0,0,8.0,21.667461153280552
4,1,1,11.0,1.0
5,0,0,10.0,22.167461153280552
6,0,0,9.0,21.167461153280552
7,0,0,10.0,20.167461153280552
8,0,0,8.0,19.16746115328055
9,0,0,5.0,18.167461153280552
10,0,0,7.0,17.167461153280556
11,0,0,9.0,16.167461153280556
12,0,0,5.0,15.167461153280556
13,0,0,10.0,14.167461153280557
14,0,0,9.0,13.16746115328056
15,0,0,9.0,12.16746115328056
16,0,0,6.0,8.0
17,1,1,11.5,10.167461153280563
18,1,1,9.5,7.0
19,1,1,10.666666666666666,5.0
20,1,1,9.0,3.0
21,0,0,8.666666666666666,12.0
22,0,0,8.0,11.0
23,0,0,8.0,11.0
24,0,0,7.0,12.0
25,0,0,10.0,23.225576228970496
26,0,0,7.0,22.225576228970496
27,0,0,6.0,21.225576228970496
28,0,0,8.0,20.225576228970496
29,0,0,6.0,19.225576228970496
30,0,0,7.0,18.225576228970496
31,0,0,11.0,17.225576228970496
32,0,0,6.0,16.225576228970496
33,0,0,9.25,15.225576228970496
34,0,0,9.0,14.225576228970498
35,0,0,11.0,13.2255762289705
36,0,0,8.0,12.2255762289705
37,0,0,8.0,11.225576228970501
38,0,0,9.0,10.225576228970503
39,0,0,9.0,9.225576228970503
40,0,0,6.0,8.0
41,1,1,10.5,7.0
42,1,1,9.5,5.0
43,0,0,5.25,8.0
44,0,0,7.0,7.0
45,1,1,7.0,4.0
46,1,1,9.0,7.5
47,0,0,8.0,9.0
48,0,0,6.0,10.0
49,1,1,10.0,7.0
50,0,0,8.0,26.877705677399135
51,0,0,6.0,25.877705677399135
52,0,0,8.0,24.877705677399135
53,0,0,8.0,23.87770567739914
54,0,0,10.0,22.877705677399135
55,0,0,4.0,21.877705677399135
56,0,0,10.0,20.877705677399135
57,0,0,7.0,19.877705677399135
58,0,0,6.0,18.87770567739914
59,0,0,9.0,17.877705677399142
60,0,0,8.0,16.877705677399142
61,0,0,6.0,15.877705677399142
62,0,0,4.0,8.0
63,1,1,10.75,7.0
64,1,1,8.0,6.0
65,0,0,9.0,11.877705677399147
66,0,0,10.0,10.877705677399149
67,1,1,10.25,5.5
68,0,0,5.0,11.0
69,1,1,10.0,8.0
70,0,0,8.0,12.5
71,0,0,7.0,15.5
72,0,0,8.0,26.239711563192333
73,0,0,4.0,25.239711563192333
74,0,0,8.0,24.239711563192333
75,0,0,7.0,23.239711563192337
76,0,0,9.0,22.239711563192337
77,0,0,7.0,21.239711563192333
78,0,0,10.0,20.239711563192337
79,0,0,7.0,19.239711563192337
80,0,0,11.0,18.239711563192337
81,0,0,8.0,17.239711563192337
82,0,0,8.25,16.23971156319234
83,0,0,8.0,15.23971156319234
84,0,0,7.0,7.0
85,0,0,9.25,13.239711563192344
86,1,1,9.5,5.0
87,1,1,6.25,6.0
88,1,1,8.0,4.0
89,0,0,7.0,10.0
90,0,0,6.0,12.0
91,0,0,8.0,13.0
92,0,0,8.0,12.0
93,0,0,10.0,26.22477506054638
94,0,0,10.0,25.22477506054638
95,0,0,8.0,24.22477506054638
96,0,0,6.0,23.22477506054638
97,0,0,5.0,22.224775060546385
98,0,0,5.0,21.22477506054638
99,0,0,8.0,20.22477506054638
100,0,0,8.25,19.224775060546385
101,0,0,9.0,18.224775060546385
102,0,0,10.0,17.224775060546385
103,0,0,7.0,16.22477506054638
104,0,0,9.0,15.224775060546383
105,0,0,8.0,14.224775060546383
106,0,0,7.0,13.224775060546385
107,0,0,7.0,12.224775060546387
108,0,0,10.0,11.224775060546389
109,0,0,4.0,9.0
110,1,1,8.5,7.0
111,1,1,11.0,8.224775060546392
112,1,1,10.0,3.0
113,1,1,9.0,6.5
114,0,0,6.0,11.0
115,0,0,5.0,11.0
116,1,1,9.0,8.0
117,0,0,8.0,25.190723032703136
118,0,0,8.0,24.190723032703136
119,0,0,10.0,23.190723032703136
120,0,0,7.0,22.19072303270314
