#{"t_start": 1789925780.0299525, "env_id": "None"}
r,l,t
-61281.118366,601,18.551432
-59842.066012,601,25.167496
-63115.225639,601,33.410874
-54210.20849,601,40.864369
-59728.682745,601,49.331751
-54937.925674,601,56.869684
-54137.928149,601,65.041877
-50279.32159,601,72.576521
-51142.801636,601,81.037493
-41252.505823,601,88.142328
-42598.231083,601,96.770678
-47543.978283,601,103.707975
-45407.085435,601,112.45963
-46630.188441,601,119.753982
-46495.057984,601,129.199883
-45863.765165,601,136.63646
-47966.215467,601,145.222635
-45316.096144,601,154.269073
-47595.493787,601,162.702101
-42895.56561,601,171.245734
-46133.921466,601,178.579483
-46413.313314,601,187.0545
-45215.113221,601,194.283392
-48963.085244,601,202.591059
-42771.503673,601,209.564847
-47365.003967,601,218.096913
-44943.156114,601,226.3477
-44101.734831,601,236.216162
-44738.631041,601,244.051353
-48660.201492,601,253.434542
-45402.403863,601,261.190412
-48499.575936,601,270.560092
-44327.577831,601,277.855263
-43102.835803,601,285.305631
-45813.12878,601,293.755957
-47277.914625,601,301.125587
-44767.847644,601,310.03782
-46428.656482,601,317.314877
-45393.512834,601,326.491007
-46325.319416,601,333.911173
-45425.694585,601,343.222809
-48296.385206,601,350.61956
-44541.774739,601,358.991006
-42931.092377,601,366.367408
-44569.923038,601,375.355566
-47958.551385,601,382.808431
-45647.421321,601,391.754145
-46287.905174,601,398.771187
-46121.399147,601,407.35611
-47935.110887,601,414.523507
-46118.001782,601,421.445307
-45564.954563,601,430.405578
-41074.612178,601,437.631573
-47759.786009,601,445.933372
-45457.004118,601,452.99659
-45502.931171,601,462.412745
-43702.43128,601,469.571658
-44042.065761,601,478.300911
-41416.239884,601,485.032161
-39992.30309,601,493.35149
-44885.436661,601,500.539169
-43718.804781,601,508.979277
-43576.592809,601,515.949508
-40926.132012,601,524.662382
-41908.614334,601,531.107575
-43313.584445,601,537.797525
-41550.290768,601,546.67721
-38612.550731,601,553.909911
-39158.142635,601,561.752037
-41114.295554,601,568.7672
-39041.697878,601,577.457268
-39275.421136,601,584.441667
-37207.108975,601,592.60887
-41618.463484,601,599.963465
-40296.333793,601,609.038969
-36707.02442,601,616.041693
-36651.007721,601,624.052314
-38152.299504,601,631.206737
-35146.56743,601,639.235226
-39752.637399,601,645.950124
-39172.157432,601,654.192283
-37058.060673,601,660.816231
-37853.418326,601,667.752874
-39886.370893,601,676.103501
-37315.569771,601,682.403305
