#{"t_start": 1789984725.2444642, "env_id": "None"}
r,l,t
-42664.475352,601,21.813216
-43589.860277,601,30.119417
-40531.196409,601,40.094388
-41839.652081,601,48.286106
-43609.272508,601,58.231013
-44344.514465,601,66.910813
-44962.66415,601,77.084884
-47896.202364,601,85.195868
-43616.515857,601,95.222326
-42029.801241,601,103.852824
-46516.147511,601,113.70802
-42833.37159,601,121.702948
-42202.126476,601,131.625521
-38568.023802,601,140.074505
-42567.47318,601,150.069046
-44239.259738,601,157.899451
-45102.84968,601,165.789751
-45410.108173,601,175.626724
-43075.806556,601,183.987398
-38896.169239,601,193.707732
-45451.963205,601,201.476157
-41972.723291,601,211.402751
-50605.87413,601,219.949418
-49872.773012,601,229.70459
-47706.331851,601,237.601682
-45877.171629,601,247.544816
-49694.444857,601,256.301026
-46346.185604,601,266.277612
-47461.790474,601,274.270709
-51496.616212,601,284.130767
-55538.082556,601,292.837606
-52712.331684,601,302.851594
-54747.268931,601,310.7415
-57232.485951,601,318.834548
-48518.000683,601,329.724198
-50191.467115,601,337.698549
-49147.674136,601,347.950432
-51602.888206,601,356.147331
-52981.817323,601,366.960316
-55286.801963,601,375.31592
-54662.568093,601,385.448851
-50634.368254,601,393.704338
-55619.117781,601,404.154056
-54280.289564,601,413.056614
-50906.645159,601,423.355344
-55938.564561,601,431.586273
-52354.114945,601,441.654759
-50593.581036,601,450.70194
-52090.179845,601,460.97853
-53798.420382,601,469.297465
-54161.384207,601,477.454932
-52695.738799,601,488.417842
-52007.223352,601,496.57287
-55604.898588,601,506.954287
-56451.330098,601,514.995635
-51975.433029,601,525.826157
-53220.934086,601,534.238098
-53207.511937,601,544.63229
-54619.860437,601,552.917534
-50208.641456,601,563.514665
-53442.431622,601,571.605384
-49789.505412,601,581.865322
-50641.438815,601,589.953352
-53595.126155,601,600.33015
-54777.061303,601,609.003751
-50246.22762,601,616.906654
-56275.313284,601,626.789098
-54144.94945,601,634.603633
-49694.388408,601,645.16891
-50684.498695,601,652.944221
-50580.261136,601,662.860051
-53413.989869,601,670.681602
-51413.203585,601,681.461535
-51929.351004,601,689.288709
-50722.765997,601,699.171762
-50483.977431,601,707.141196
-51212.21524,601,717.974222
-50623.20959,601,726.000041
-51489.555074,601,736.018169
-54644.106625,601,744.037086
-52638.639649,601,754.776971
-54821.67608,601,762.783864
-51798.279092,601,771.053701
-47431.807759,601,781.346803
-49271.885355,601,790.027156
